,date,open,high,low,close,volume,open_volume,fast_lag,slow_lag,atr,last_high1,last_high2,last_low1,last_low2
0,20000601,138.12,139.37,137.99,139.26,70706,121488,139.26,139.26,1.3799999999999955,,,,
1,20000602,139.26,139.77,138.9,139.47,61568,121074,139.26823529411763,139.26415841584156,1.3699009900990056,,,,
2,20000605,139.31,139.31,138.59,138.82,67622,116160,139.25065743944634,139.2553631996863,1.3601999803940747,139.47,139.47,139.26,139.26
3,20000606,138.78,139.35,138.64,138.87,52577,112594,139.23572969672296,139.24773224523705,1.3473247332575586,139.47,139.47,138.82,138.82
4,20000607,138.96,139.3,138.02,139.07,87231,105280,139.2292304929299,139.2442127948363,1.3459915702227556,139.47,139.47,138.82,138.82
5,20000608,139.1,139.59,138.62,138.9,79058,103768,139.21631949320715,139.23739669988905,1.3385461925945823,139.47,139.47,138.82,138.82
6,20000609,138.87,139.42,138.64,139.32,54833,103861,139.22038539543433,139.23903240880213,1.3274858719491451,139.47,139.47,138.82,138.82
7,20000612,139.6,140.92,139.39,140.86,79508,103063,139.28468400737808,139.27113077694466,1.3328821913164888,139.47,139.47,138.82,138.82
8,20000613,140.92,141.97,140.77,141.68,103186,103848,139.37861796787305,139.31883115759922,1.33025086079537,140.86,140.86,138.82,138.82
9,20000614,141.95,142.3,141.6,141.97,62162,124071,139.48024079266236,139.37132955051806,1.3177706457301155,141.68,141.68,138.82,138.82
10,20000615,141.85,142.27,141.35,141.75,66373,128828,139.56925095765598,139.41843193565632,1.3098939992800145,141.97,141.97,138.82,138.82
11,20000616,141.65,141.75,139.9,140.82,93434,128543,139.6182999397087,139.44618575871263,1.3205891676111032,141.97,141.97,138.82,138.82
12,20000619,140.6,140.65,139.85,140.44,84612,133850,139.65052347148483,139.46586524863912,1.3136468078564278,141.97,141.97,138.82,138.82
13,20000620,140.33,141.64,140.15,141.45,101588,145523,139.72109117848544,139.50515504569577,1.317138950275112,141.97,141.97,138.82,138.82
14,20000621,141.32,142.75,141.05,142.17,91922,144372,139.81712681854484,139.5579242527117,1.3247203572003572,141.97,141.97,138.82,138.82
15,20000622,142.17,143.05,141.77,142.99,59873,141606,139.94155321781759,139.62588614869762,1.3238348055726274,142.17,142.17,138.82,138.82
16,20000623,143.05,143.5,142.7,143.05,64600,142656,140.06345309162867,139.69369038337686,1.313461839125645,142.99,142.99,138.82,138.82
17,20000626,143.06,143.5,142.39,142.43,45849,139710,140.15625885274127,139.74787473222088,1.3094328918162266,143.05,143.05,138.82,138.82
18,20000627,142.38,143.22,141.86,142.86,71560,136274,140.26228791733965,139.8095009751472,1.3104342206911526,143.05,143.05,138.82,138.82
19,20000628,142.89,143.3,142.55,142.7,53802,133191,140.35788446960083,139.8667385795997,1.2993365133507337,143.05,143.05,138.82,138.82
20,20000629,142.68,143.7,142.4,143.52,61891,131978,140.48188900020472,139.93908038990466,1.2993496517002239,143.05,143.05,138.82,138.82
21,20000630,143.57,143.75,143.2,143.3,54557,121677,140.59240315705944,140.0056332534709,1.2845110447358632,143.52,143.52,138.82,138.82
22,20000705,141.95,142.1,141.05,141.47,77051,117942,140.6268187195277,140.0346306147883,1.3036296379094106,143.52,143.52,138.82,138.82
23,20000706,141.56,142.2,140.6,140.79,90018,107786,140.6332179854286,140.04958842439646,1.3094983579508082,143.52,143.52,138.82,138.82
24,20000707,140.9,141.18,140.28,141.08,68850,102110,140.6507388487451,140.06999261401236,1.3013894795755447,143.52,143.52,138.82,138.82
25,20000710,140.79,140.95,140.33,140.49,58920,96571,140.6444353644806,140.07830959195272,1.2904708760195933,143.52,143.52,138.82,138.82
26,20000711,140.55,140.59,139.98,140.5,85402,84547,140.63877123254017,140.08665989706256,1.2769962052073245,143.52,143.52,138.82,138.82
27,20000712,140.51,141.2,140.05,141.12,84652,77230,140.65764294891113,140.10712207731873,1.2744814288665849,143.52,143.52,138.82,138.82
28,20000713,141.51,142.36,141.24,142.27,84631,111076,140.72087263718913,140.1499513431144,1.2737986282949696,143.52,143.52,138.82,138.87
29,20000714,142.27,142.41,141.99,142.29,51735,124141,140.78240704357387,140.19232854424084,1.2568917247643758,143.52,143.52,138.82,138.9
30,20000717,142.09,142.09,141.54,141.62,48841,132741,140.8152538261788,140.22059926613707,1.2468542648680516,143.52,143.52,138.82,138.9
31,20000718,141.56,142.88,141.44,142.5,83871,138504,140.88132230358354,140.26573591433237,1.2506789328904664,143.52,143.52,138.82,139.32
32,20000719,142.44,142.56,141.81,142.21,89301,139276,140.93342731128615,140.3042361932565,1.2407644985758037,143.52,143.52,138.82,140.44
33,20000720,142.14,142.36,141.51,141.63,93196,147979,140.96074388731415,140.33048894190486,1.233026587712917,143.52,143.52,138.82,140.44
34,20000721,141.52,141.58,140.37,140.42,85746,137444,140.93953824467437,140.33226143810475,1.2335607146888987,143.52,143.52,138.82,140.44
35,20000724,140.37,140.55,139.82,139.88,72656,126381,140.89798772527539,140.32330576606307,1.2235892153881287,143.52,143.52,138.82,140.42
36,20000725,139.87,140.26,139.73,139.81,53044,121477,140.85532153997048,140.31314129544796,1.2098547754794529,143.52,143.52,138.82,139.88
37,20000726,139.82,140.36,139.6,139.67,67317,119707,140.80883834232458,140.300405824251,1.2009467601234245,143.52,143.52,138.82,139.81
38,20000727,139.79,140.16,139.63,139.88,50117,115521,140.77241330929223,140.29208095644404,1.187660685665535,143.52,143.52,138.82,139.67
39,20000728,139.98,140.45,139.87,140.04,58890,109834,140.74369121873175,140.28708925433622,1.1756278008008705,143.52,143.52,138.82,139.67
40,20000731,140.03,140.19,139.21,139.29,65514,110550,140.68668371995795,140.2673449126662,1.1717539829632293,143.52,143.52,138.82,139.67
41,20000801,139.22,139.89,139.12,139.65,64455,105097,140.6460294564302,140.25512026093023,1.1637984585481156,143.52,143.52,138.82,139.29
42,20000802,139.65,140.46,139.61,140.12,69396,106892,140.62540085029568,140.25244461219893,1.1575846276857766,143.52,143.52,138.82,139.29
43,20000803,140.1,140.76,140.01,140.52,67194,104943,140.6212674836174,140.25774273869004,1.1495136449593255,143.52,143.52,138.82,139.29
44,20000804,140.61,141.86,140.56,141.82,85429,102182,140.6682766019069,140.2886785260427,1.153285651989834,143.52,143.52,138.82,139.29
45,20000807,141.77,142.02,140.68,140.77,57488,96109,140.67226575477332,140.2982096443389,1.1569829658118176,143.52,143.52,138.82,139.29
46,20000808,140.66,141.2,140.52,140.98,55803,90186,140.68433376439006,140.3117104434609,1.1475377585680189,143.52,143.3,138.82,139.29
47,20000809,141.01,142.34,140.97,142.21,81834,88110,140.74416381284536,140.3493003356696,1.1519429514676622,143.52,142.5,138.82,139.29
48,20000810,142.21,143.38,141.95,143.2,83410,83915,140.8404711143024,140.40574983397318,1.1574490316366195,143.52,142.5,138.82,139.29
49,20000811,143.09,143.71,142.76,142.88,81239,71121,140.9204526392317,140.45474488676578,1.1533411300200531,143.52,143.2,138.82,139.29
50,20000814,142.89,143.86,142.5,143.8,67559,64320,141.03337606514418,140.52098756227537,1.1574333848711413,143.52,143.2,138.82,139.29
51,20000815,143.67,144.29,143.42,143.53,48951,97385,141.13128288611892,140.58057196698277,1.1517416346756733,143.8,143.8,138.82,139.29
52,20000816,143.59,143.67,143.03,143.55,47028,101502,141.22613453764367,140.63937252209203,1.141608136959323,143.8,143.8,138.82,139.29
53,20000817,143.53,144.52,143.53,143.9,51023,109935,141.33099200675568,140.70393940284268,1.138605995633396,143.8,143.8,138.87,139.29
54,20000818,143.87,144.42,143.78,144.13,58539,113025,141.4407570260986,140.7717821869448,1.1287326095812493,143.9,143.9,138.9,139.29
55,20000821,144.08,145.02,144.08,144.55,64395,117417,141.56268812311433,140.8465983812627,1.1249953301836009,144.13,144.13,138.9,139.29
56,20000822,144.52,145.02,143.77,143.79,85904,120881,141.65003368691376,140.90488356183175,1.1274706701799653,144.55,144.55,139.29,139.29
57,20000823,143.76,145.37,143.67,144.59,84273,125399,141.76532648350536,140.97785616456775,1.1388078846318475,144.55,144.55,139.29,139.29
58,20000824,144.7,144.82,143.97,144.2,74958,122254,141.86080387630906,141.04166099299215,1.1330889166193354,144.59,144.59,139.29,139.29
59,20000825,144.2,144.72,144.04,144.6,45532,119872,141.96822333214007,141.11212315154677,1.1241168588644972,144.59,144.59,139.29,139.29
60,20000828,144.53,145.47,144.4,145.44,47347,123532,142.10437143676202,141.19782368319932,1.1230452378968832,144.6,144.6,139.29,139.29
61,20000829,145.44,145.61,145.13,145.31,52090,123017,142.23008236081057,141.27925291719538,1.1103116688296184,145.44,145.44,139.29,139.29
62,20000830,145.27,145.97,144.72,145.89,82482,121359,142.37360854273956,141.37055483962715,1.1130777743973488,145.44,145.44,139.29,139.29
63,20000831,145.83,146.27,145.54,145.69,58988,119169,142.50366310969096,141.45608840715929,1.1054920758944313,145.89,145.89,139.29,139.29
64,20000901,145.57,146.02,145.32,145.95,47492,117669,142.6388135759776,141.54507675553236,1.0974625298371161,145.89,145.89,139.29,139.29
65,20000905,146.25,146.67,146.02,146.4,58069,120838,142.786311082802,141.64121384948223,1.0899880242957871,145.95,145.95,139.29,139.29
66,20000906,146.4,147.52,146.4,147.47,76567,121394,142.96998515798623,141.75663535741327,1.0905823208443854,146.4,146.4,139.29,139.65
67,20000907,147.53,148.03,147.02,147.96,78513,122922,143.1656720145358,141.87947426122687,1.0889866313227143,147.47,147.47,139.29,140.12
68,20000908,147.96,147.97,145.97,146.2,94377,121159,143.28466526886774,141.9650292263511,1.1070265000093933,147.96,147.96,139.29,140.52
