,date,open,high,low,close,volume,open_volume,fast_lag,slow_lag,atr,last_high1,last_high2,last_low1,last_low2
0,20000601,86.5025,86.5775,86.4925,86.5575,152556,566140,86.5575,86.5575,0.08499999999999375,,,,
1,20000602,86.5675,86.7325,86.5525,86.6925,260664,566712,86.56279411764706,86.56017326732673,0.0868811881188059,,,,
2,20000605,86.6925,86.7575,86.6925,86.7525,96070,563994,86.57023356401385,86.56398171747868,0.08644789726496811,86.6925,86.6925,86.5575,86.5575
3,20000606,86.7425,86.7425,86.6975,86.7375,102686,565942,86.57679303209173,86.56741772307316,0.0858251666260577,86.7525,86.7525,86.5575,86.5575
4,20000607,86.7325,86.7375,86.7125,86.7175,65245,565044,86.58231095240185,86.57038964934894,0.08462070788098708,86.7525,86.7525,86.5575,86.5575
5,20000608,86.7125,86.7125,86.6625,86.6975,89960,564935,86.58682816995473,86.57290668599549,0.08403415921007658,86.7525,86.7525,86.5575,86.5575
6,20000609,86.6875,86.7175,86.6825,86.6975,58012,570846,86.5911682417212,86.57537388033221,0.08306318576037203,86.7525,86.7525,86.5575,86.5575
7,20000612,86.6975,86.7475,86.6925,86.7375,58688,587768,86.59690674204586,86.57858429854345,0.08250747911165192,86.7525,86.7525,86.5575,86.5575
8,20000613,86.7425,86.8125,86.7275,86.7975,167251,598626,86.60477314431857,86.58291926292873,0.08255683596092601,86.7525,86.7525,86.5575,86.5575
9,20000614,86.7925,86.8325,86.7875,86.8225,135993,606010,86.61331145238451,86.58766343594004,0.08181313623892751,86.7975,86.7975,86.5575,86.5575
10,20000615,86.8325,86.8325,86.7825,86.8175,96747,617486,86.62131884640864,86.59221465503035,0.0811831731450873,86.8225,86.8225,86.5575,86.5575
11,20000616,86.8175,86.8775,86.8025,86.8675,144285,629658,86.63097300929458,86.59766584998025,0.08106073407290741,86.8225,86.8225,86.5575,86.5575
12,20000619,86.8675,86.8725,86.8375,86.8475,78712,625571,86.63946426383204,86.60261306087173,0.08014864032888938,86.8675,86.8675,86.5575,86.5575
13,20000620,86.8375,86.8475,86.8175,86.8225,67605,632161,86.64664213583863,86.60696725768615,0.07915559794613912,86.8675,86.8675,86.5575,86.5575
14,20000621,86.8175,86.8175,86.7925,86.7975,64146,631657,86.65255813051162,86.61074018327652,0.07818221976898787,86.8675,86.8675,86.5575,86.5575
15,20000622,86.7925,86.8225,86.7825,86.7925,58272,626557,86.65804604696214,86.61433938756808,0.07742613620920606,86.8675,86.8675,86.5575,86.5575
16,20000623,86.8025,86.8075,86.7825,86.7925,48161,625718,86.66331875100285,86.61786732048752,0.07638799489813279,86.8675,86.8675,86.5575,86.5575
17,20000626,86.7925,86.8075,86.7875,86.7975,39725,620784,86.66858076076744,86.62142440325015,0.07527140093975412,86.8675,86.8675,86.5575,86.5575
18,20000627,86.7975,86.8075,86.7925,86.7975,43704,622020,86.67363641720793,86.62491104873034,0.07407790785183821,86.8675,86.8675,86.5575,86.5575
19,20000628,86.8025,86.8475,86.7925,86.8175,80889,628035,86.67927812633702,86.62872469132974,0.07370012749833632,86.8675,86.8675,86.5575,86.5575
20,20000629,86.8325,86.8525,86.8175,86.8375,75433,622522,86.68548290569636,86.63285885585786,0.07293378833995363,86.8675,86.8675,86.5575,86.5575
21,20000630,86.8425,86.8525,86.8275,86.8375,45106,610146,86.69144436037493,86.63691115574187,0.07198460441242992,86.8675,86.8675,86.5575,86.5575
22,20000703,86.8325,86.9075,86.8275,86.9025,54165,610419,86.69972105212493,86.64217034077669,0.07214332511713424,86.8675,86.8675,86.5575,86.5575
23,20000705,86.9075,86.9625,86.8975,86.9425,98513,609422,86.70924179517885,86.64811746274151,0.07200187313461696,86.9025,86.9025,86.5575,86.5575
24,20000706,86.9475,86.9475,86.9175,86.9275,68888,606643,86.71780094046596,86.65364979021197,0.07117015287452556,86.9425,86.9425,86.5575,86.5575
25,20000707,86.9275,87.0025,86.9075,86.9725,145248,611721,86.72778913887906,86.65996365575234,0.07164203103542602,86.9425,86.9425,86.5575,86.5575
26,20000710,86.9675,86.9725,86.9425,86.9525,49184,608958,86.73660132951126,86.66575645464833,0.07081743636145721,86.9725,86.9725,86.5575,86.6925
27,20000711,86.9475,86.9675,86.9325,86.9425,50505,605033,86.74467578717748,86.67123652485331,0.07010818019588373,86.9725,86.9725,86.5575,86.6975
28,20000712,86.9425,86.9475,86.9275,86.9425,57831,601447,86.75243359944504,86.67660807881661,0.06911593900388624,86.9725,86.9725,86.5575,86.6975
29,20000713,86.9475,86.9575,86.9425,86.9525,50159,604130,86.76027934064328,86.68207128517668,0.06804433625133405,86.9725,86.9725,86.5575,86.6975
30,20000714,86.9525,87.0025,86.9125,86.9225,97340,607047,86.76664093512785,86.68683224982664,0.06847910187011957,86.9725,86.9725,86.5575,86.6975
31,20000717,86.9175,86.9275,86.8925,86.9025,58696,619133,86.77196874159343,86.69110289834492,0.06781614935783992,86.9725,86.9725,86.5575,86.6975
32,20000718,86.9025,86.9225,86.8925,86.9025,56389,617850,86.77708761447211,86.69528897956582,0.06706731471709064,86.9725,86.9725,86.5575,86.7375
33,20000719,86.9025,86.9125,86.8825,86.8925,38843,612684,86.78161359037516,86.69919414828729,0.06633330848506906,86.9725,86.9725,86.5575,86.7925
34,20000720,86.8875,86.9825,86.8875,86.9775,123362,614074,86.78929541036045,86.7047051552519,0.06690096574279045,86.9725,86.9725,86.5575,86.7925
35,20000721,86.9775,86.9925,86.9675,86.9825,54900,611316,86.79687206093455,86.71020604326671,0.06607124364887391,86.9775,86.9775,86.5575,86.7925
36,20000724,86.9825,86.9825,86.9625,86.9725,23139,610719,86.80375943109398,86.715399983004,0.06515894179444069,86.9825,86.9825,86.5575,86.7925
37,20000725,86.9725,86.9875,86.9725,86.9775,38686,609829,86.81057278673735,86.72059008235045,0.06416569542227356,86.9825,86.9825,86.5575,86.7925
38,20000726,86.9775,86.9875,86.9725,86.9775,32484,605296,86.81711895196334,86.72567740745242,0.06319211729509984,86.9825,86.9825,86.5575,86.7925
39,20000727,86.9775,86.9975,86.9525,86.9925,84087,610755,86.82399664012163,86.73096102314643,0.06283187734866225,86.9825,86.9825,86.5575,86.7925
40,20000728,86.9875,86.9925,86.9325,86.9675,114708,616619,86.82962422286197,86.73564496328216,0.06277580056948086,86.9925,86.9925,86.5575,86.7925
41,20000731,86.9575,86.9575,86.9425,86.9525,35977,614362,86.83444288078894,86.73993912242508,0.062027764914639766,86.9925,86.9925,86.5575,86.7925
42,20000801,86.9525,86.9725,86.9475,86.9675,50576,610519,86.83966080703252,86.74444527841666,0.06129454184702297,86.9925,86.9925,86.5575,86.7975
43,20000802,86.9725,87.0025,86.9625,86.9975,56320,612955,86.84585057930575,86.74945626300247,0.060872867751042156,86.9925,86.9925,86.5575,86.7975
44,20000803,86.9975,87.0375,86.9925,87.0175,91692,617239,86.85258192913689,86.7547640597747,0.060558553538149984,86.9975,86.9975,86.5575,86.8175
45,20000804,87.0125,87.0675,87.0075,87.0575,108246,618679,86.86061793191584,86.76075883086827,0.06054749307204805,87.0175,87.0175,86.5575,86.8375
46,20000807,87.0575,87.0625,87.0475,87.0525,36826,602308,86.86814271889953,86.76653588372237,0.05964556251616592,87.0575,87.0575,86.5575,86.8375
47,20000808,87.0525,87.0725,87.0425,87.0675,55569,597925,86.87596065149171,86.77249556919321,0.05905852167426167,87.0575,87.0575,86.5575,86.8925
48,20000809,87.0675,87.0725,87.0525,87.0675,44722,602978,86.88347199849204,86.77833724109037,0.058285085601504215,87.0675,87.0675,86.5575,86.8925
49,20000810,87.0725,87.0725,87.0625,87.0675,43449,599837,86.8906887828649,86.7840632363163,0.05732894529256364,87.0675,87.0675,86.5575,86.8925
50,20000811,87.0675,87.0725,87.0475,87.0575,66398,594210,86.89723039922313,86.78947782569618,0.05668876815805754,87.0675,87.0675,86.5575,86.8925
51,20000814,87.0475,87.0575,87.045,87.0575,31905,591636,86.90351548160653,86.79478519548438,0.055813743046016856,87.0675,87.0675,86.6925,86.8925
52,20000815,87.0525,87.0575,87.0475,87.05,47941,589636,86.90925997252393,86.79983895398964,0.05490654021342256,87.0675,87.0675,86.6975,86.8925
53,20000816,87.05,87.0575,87.0475,87.05,54348,589809,86.9147791892877,86.80479263806905,0.054017301793354885,87.0675,87.0675,86.6975,86.8925
54,20000817,87.0525,87.0575,87.05,87.055,32027,581308,86.92027804460974,86.8097472392954,0.05309616710437771,87.0675,87.0675,86.6975,86.8925
55,20000818,87.0575,87.0625,87.0525,87.06,33414,576289,86.925757336978,86.81470273950738,0.05224277765676637,87.0675,87.0675,86.6975,86.8925
56,20000821,87.0625,87.065,87.06,87.06,28495,570456,86.93102175513572,86.81956011100229,0.05130727710910754,87.0675,87.0675,86.6975,86.8925
57,20000822,87.06,87.0725,87.06,87.07,49873,567170,86.93647188238529,86.82451931672502,0.050538816176253984,87.0675,87.0675,86.7375,86.8925
58,20000823,87.0725,87.0825,87.0725,87.08,44117,558386,86.94210043601724,86.8295783401562,0.04978557229157574,87.07,87.07,86.7925,86.8925
59,20000824,87.0825,87.1,87.0825,87.0925,59587,549934,86.94799845813421,86.83478470965807,0.04919575897887119,87.08,87.08,86.7925,86.9525
60,20000825,87.0925,87.095,87.0875,87.0925,29383,550098,86.9536651852662,86.83988798273414,0.04837010038523004,87.0925,87.0925,86.7925,86.9525
61,20000828,87.0975,87.0975,87.085,87.0875,19874,547015,86.95891360937341,86.84479119099683,0.04765980136770079,87.0925,87.0925,86.7925,86.9525
62,20000829,87.085,87.0875,87.0825,87.085,40842,544494,86.96385817371171,86.8495478010761,0.04681505282576631,87.0925,87.0925,86.7925,86.9525
63,20000830,87.08,87.095,87.065,87.085,60892,548949,86.96860883356615,86.85421022085677,0.046482081482681854,87.0925,87.0925,86.7925,86.9525
64,20000831,87.085,87.145,87.075,87.135,95119,554240,86.97513397734787,86.85977041450317,0.04694778283946029,87.0925,87.0925,86.7925,86.9525
65,20000901,87.135,87.205,87.13,87.19,137662,555719,86.98356009588325,86.86630961421598,0.047503272288183906,87.135,87.135,86.7925,86.9525
66,20000905,87.195,87.195,87.16,87.185,57512,550780,86.99145969996626,86.87262031492457,0.04725568273792277,87.19,87.19,86.7925,86.9525
67,20000906,87.18,87.18,87.15,87.16,53670,559304,86.99806912349699,86.87831100175775,0.04701299595103314,87.19,87.19,86.7975,86.9675
68,20000907,87.155,87.18,87.145,87.16,71377,566118,87.0044193539481,86.88388900172295,0.04677511484309211,87.19,87.19,86.7975,86.9975
69,20000908,87.155,87.195,87.155,87.185,52532,574480,87.01150094791092,86.88985159574824,0.04664095415312973,87.19,87.19,86.8175,87.0175
70,20000911,87.185,87.185,87.16,87.185,44940,567479,87.01830483230657,86.8956961186047,0.04621242040752331,87.19,87.19,86.8375,87.05
71,20000912,87.185,87.195,87.18,87.19,59621,575230,87.02503797613768,86.9015239182363,0.045594352676680994,87.19,87.19,86.8375,87.05
72,20000913,87.195,87.21,87.18,87.2,61767,577302,87.03189923197542,86.90743433569696,0.04528555361377616,87.19,87.19,86.8925,87.05
73,20000914,87.2,87.225,87.19,87.205,91776,584749,87.03868749738814,86.9133267250891,0.045081879284790426,87.2,87.2,86.8925,87.05
74,20000915,87.205,87.235,87.2,87.225,92921,585708,87.04599387003958,86.91949847310714,0.04488223811083411,87.205,87.205,86.8925,87.05
75,20000918,87.22,87.255,87.22,87.245,89494,586601,87.05379803199881,86.9259440478971,0.04468655022745119,87.225,87.225,86.8925,87.05
