,date,open,high,low,close,volume,open_volume,fast_lag,slow_lag,atr,last_high1,last_high2,last_low1,last_low2
0,20000601,125.4,125.925,125.25,125.875,1572,9268,125.875,125.875,0.6749999999999972,,,,
1,20000602,125.9,126.1,125.6,125.675,1631,9436,125.86715686274509,125.8710396039604,0.6715346534653438,,,,
2,20000605,125.875,126.6,125.875,126.475,1931,9356,125.8909938485198,125.88299921576316,0.6765537692383072,125.875,125.875,125.675,125.675
3,20000606,126.5,126.5,126.05,126.175,1156,9227,125.90213134465628,125.88878140951043,0.6720675559860636,126.475,126.475,125.675,125.675
4,20000607,126.35,126.4,126.0,126.275,1146,9367,125.91675364486584,125.89642930239141,0.666680079629904,126.475,126.475,125.675,125.675
5,20000608,126.225,126.5,125.825,125.875,1157,9506,125.91511624702795,125.8960049597698,0.6668448305283218,126.475,126.475,125.675,125.675
6,20000609,125.9,126.05,125.6,125.975,877,9499,125.91746462949745,125.89756921799217,0.662550873488157,126.475,126.475,125.675,125.675
7,20000612,126.55,127.3,126.45,127.2,3092,10101,125.96776013422304,125.92335992654678,0.6756686779735401,126.475,126.475,125.675,125.675
8,20000613,127.3,127.4,127.0,127.05,1742,9872,126.01020091327312,125.9456696309716,0.670209892271094,127.2,127.2,125.675,125.675
9,20000614,127.2,127.25,126.8,126.975,1095,10153,126.04803617157614,125.96605241055632,0.6658493003449337,127.2,127.2,125.675,125.675
10,20000615,126.8,126.925,126.5,126.65,1013,9904,126.07164259622022,125.97959592717896,0.6620701062786973,127.2,127.2,125.675,125.675
11,20000616,126.3,126.6,126.25,126.55,4197,9891,126.09040171009393,125.99089105733384,0.6568805992236737,127.2,127.2,125.675,125.675
12,20000619,126.3,126.7,126.25,126.625,821,9986,126.11136634891378,126.0034476700599,0.652783953694492,127.2,127.2,125.675,125.675
13,20000620,126.8,127.3,126.75,127.05,1169,10206,126.14817551170147,126.02417147857356,0.6532238754035119,127.2,127.2,125.675,125.675
14,20000621,127.075,127.25,126.85,126.875,729,10310,126.17667843281122,126.04101956810676,0.6482095412371058,127.2,127.2,125.675,125.675
15,20000622,126.75,126.85,126.525,126.725,854,10424,126.19818123936764,126.05456373507495,0.642304401806668,127.2,127.2,125.675,125.675
16,20000623,126.75,127.1,126.75,126.825,643,10478,126.22276236723557,126.06981989873684,0.6370112453352489,127.2,127.2,125.675,125.675
17,20000626,126.95,127.5,126.95,127.275,1240,10507,126.2640265881283,126.0936848512371,0.6377634979028677,127.2,127.2,125.675,125.675
18,20000627,127.3,127.45,127.1,127.275,978,10526,126.30367260428014,126.11707723042052,0.6320652108156823,127.275,127.275,125.675,125.675
19,20000628,127.275,127.5,126.45,126.5,1798,10553,126.31137171783777,126.1246598595211,0.6403411472351738,127.275,127.275,125.675,125.675
20,20000629,126.5,126.55,126.175,126.275,1592,10564,126.30994537596179,126.12763689200584,0.635086867091903,127.275,127.275,125.675,125.675
21,20000630,126.6,127.65,126.6,127.15,1867,10251,126.34288869455152,126.14788170602553,0.6497386122980039,127.275,127.275,125.675,125.675
22,20000703,127.5,127.65,127.375,127.625,768,10266,126.393167569275,126.17713157323294,0.6467734912623998,127.275,127.275,125.675,125.675
23,20000705,127.65,128.75,127.425,128.725,2288,10561,126.48461197832303,126.22758441336694,0.6602037191581939,127.625,127.625,125.675,125.675
24,20000706,128.725,128.85,128.325,128.6,1211,10477,126.56756837132997,126.27456293983492,0.6575264177887248,128.725,128.725,125.675,125.675
