,date,open,high,low,close,volume,open_volume,fast_lag,slow_lag,atr,last_high1,last_high2,last_low1,last_low2
0,20000601,54.6406,55.1719,54.6094,55.0,134719,273731,55.0,55.0,0.5625,,,,
1,20000602,55.0313,56.0,54.9219,55.2813,144669,289051,55.01103137254902,55.005570297029706,0.572709900990099,,,,
2,20000605,55.375,55.4375,55.1875,55.4063,64975,300618,55.0265321030373,55.01350553867268,0.5663196059209882,55.2813,55.2813,55.0,55.0
3,20000606,55.4219,55.4219,55.0938,55.3281,72450,312762,55.03835829507505,55.01973513196629,0.5616023860017607,55.4063,55.4063,55.0,55.0
4,20000607,55.3438,55.4063,55.1406,55.3438,82578,331322,55.05033640115054,55.02615225806597,0.5557429328136071,55.4063,55.4063,55.0,55.0
5,20000608,55.3125,55.4063,55.0625,55.375,63063,335453,55.06306830698777,55.033060134143874,0.5515460430549218,55.4063,55.4063,55.0,55.0
6,20000609,55.2813,55.4219,55.1875,55.2969,48442,340691,55.072238177301976,55.038284685943005,0.545265923390468,55.4063,55.4063,55.0,55.0
7,20000612,55.2813,55.4688,55.2344,55.4531,23274,345239,55.08717393505484,55.0464988505778,0.5391101625312508,55.4063,55.4063,55.0,55.0
8,20000613,55.4531,55.7031,55.3906,55.4844,90476,361578,55.10275142779779,55.05517016046735,0.5346228325801369,55.4531,55.4531,55.0,55.0
9,20000614,55.4844,55.7656,55.4219,55.7188,82220,376393,55.126910195335135,55.06831134540859,0.5308421824300351,55.4844,55.4844,55.0,55.0
10,20000615,55.7344,55.7656,55.5156,55.7188,89152,375946,55.15012156022395,55.081192308865845,0.5252809510947869,55.7188,55.7188,55.0,55.0
11,20000616,55.7031,56.1094,55.625,56.0313,77913,375340,55.18467757747007,55.10000632255167,0.5244714273107317,55.7188,55.7188,55.0,55.0
12,20000619,56.0469,56.0625,55.9063,55.9375,38486,367783,55.21420002541242,55.11659035576847,0.517178923799628,56.0313,56.0313,55.0,55.0
13,20000620,55.9375,55.9844,55.7813,55.8281,47875,366682,55.23827453421978,55.13067965565425,0.5109595391699324,56.0313,56.0313,55.0,55.0
