,date,open,high,low,close,volume,open_volume,fast_lag,slow_lag,atr,last_high1,last_high2,last_low1,last_low2
0,20000601,1.30305,1.30385,1.29175,1.29565,17053,77134,1.29565,1.29565,0.0121,,,,
1,20000602,1.29555,1.30325,1.29125,1.29745,11059,75571,1.295720588235294,1.2956856435643564,0.012098019801980197,,,,
2,20000605,1.29945,1.30645,1.29765,1.30265,12395,76799,1.2959923298731255,1.295823551612587,0.01203667287520831,1.29745,1.29745,1.29565,1.29565
3,20000606,1.30375,1.32425,1.30305,1.32055,30178,77097,1.296955375760454,1.296313184253922,0.012226045689560618,1.30265,1.30265,1.29565,1.29565
4,20000607,1.32035,1.32585,1.31545,1.32155,11483,76290,1.2979198708286714,1.2968129231795869,0.012189886368975259,1.32055,1.32055,1.29565,1.29565
5,20000608,1.32195,1.32295,1.31475,1.31525,15513,75216,1.298599483737351,1.297178013809694,0.012110878718104462,1.32155,1.32155,1.29565,1.29565
6,20000609,1.31645,1.31825,1.30755,1.30905,15035,62557,1.2990093079045135,1.2974131026451456,0.012082940525666748,1.32155,1.32155,1.29565,1.29565
7,20000612,1.30885,1.31305,1.30555,1.30965,9521,60593,1.2994265899474737,1.2976554174442516,0.011992189228128794,1.32155,1.32155,1.29565,1.29565
8,20000613,1.30775,1.31435,1.30775,1.30815,12877,55064,1.2997686844593375,1.297863230960207,0.011885413203809411,1.32155,1.32155,1.29565,1.29565
9,20000614,1.30655,1.31315,1.30645,1.30965,8300,51435,1.3001561870295595,1.2980966323273315,0.01178273175422903,1.32155,1.32155,1.29565,1.29565
10,20000615,1.30875,1.31675,1.30875,1.31005,5246,47970,1.300544179695067,1.2983333326772855,0.011707826174937366,1.32155,1.32155,1.29565,1.29565
11,20000616,1.30925,1.31465,1.30825,1.31345,3826,46261,1.3010502902952603,1.2986326726242698,0.011602720706126729,1.32155,1.32155,1.29565,1.29565
12,20000619,1.31055,1.31765,1.30925,1.31625,11932,34902,1.301646357342505,1.2989815305921062,0.011539300494124218,1.32155,1.32155,1.29565,1.29565
13,20000620,1.31635,1.32095,1.31385,1.31885,9275,37021,1.30232100999574,1.2993749656298863,0.011451393553646513,1.32155,1.32155,1.29565,1.29565
14,20000621,1.31905,1.32065,1.31625,1.31755,5854,37147,1.3029182252900249,1.2997348673005815,0.011311761998128764,1.32155,1.32155,1.29565,1.29565
15,20000622,1.31695,1.33065,1.31585,1.32765,28047,45519,1.3038880988080632,1.3002876422055205,0.011380836017967801,1.32155,1.32155,1.29565,1.29565
16,20000623,1.32725,1.33205,1.32285,1.32485,14434,47495,1.3047101341489236,1.3007740255281834,0.011337651146324871,1.32765,1.32765,1.29565,1.29565
17,20000626,1.32535,1.32865,1.31465,1.31515,19707,44147,1.3051195406528873,1.3010586982900016,0.011390370925605567,1.32765,1.32765,1.29565,1.29565
18,20000627,1.31545,1.31925,1.31305,1.31915,5657,43732,1.305669754744931,1.3014169418882195,0.011287591303316347,1.32765,1.32765,1.29565,1.29565
19,20000628,1.31895,1.31895,1.31415,1.31635,4630,42862,1.3060885878921886,1.301712646009245,0.011163084544834837,1.32765,1.32765,1.29565,1.29565
20,20000629,1.31615,1.32735,1.31515,1.32025,17228,47330,1.3066439373866126,1.3020797223258935,0.011183617524145038,1.32765,1.32765,1.29565,1.29565
21,20000630,1.31965,1.32255,1.30735,1.31235,21835,43452,1.3068677045479218,1.3022830941610244,0.01126314985039959,1.32765,1.32765,1.29565,1.29565
22,20000703,1.31025,1.31465,1.30695,1.31425,5169,42876,1.3071572063303563,1.3025200625934794,0.0111925924276194,1.32765,1.32765,1.29565,1.29565
23,20000705,1.31015,1.31465,1.29995,1.30135,27469,45617,1.3069294727487737,1.302496893037173,0.011262046042914068,1.32765,1.32765,1.29565,1.29565
24,20000706,1.30135,1.30315,1.29695,1.29725,14373,46050,1.3065498855821551,1.3023929941651498,0.01116180750741082,1.32765,1.32765,1.29565,1.29565
25,20000707,1.29705,1.29925,1.29305,1.29325,11282,48029,1.3060283214416784,1.3022119447757408,0.011063553893402684,1.32765,1.32765,1.29565,1.29565
26,20000710,1.29345,1.30465,1.29305,1.29955,12234,48448,1.305774269620436,1.3021592329980034,0.01107417658858283,1.32765,1.32765,1.29325,1.29325
27,20000711,1.29995,1.30415,1.29925,1.30005,5669,49316,1.3055497884588503,1.302117466007944,0.010951915666036633,1.32765,1.32765,1.29325,1.29325
28,20000712,1.30015,1.30015,1.28765,1.28875,17265,54040,1.30489097322517,1.3018527637107569,0.01098257080136264,1.32765,1.32765,1.29325,1.29325
29,20000713,1.28945,1.30025,1.28795,1.28905,12984,54013,1.3042697585888887,1.3015992436372765,0.01100865850826635,1.32765,1.32765,1.28875,1.28875
30,20000714,1.28985,1.29515,1.28735,1.29185,6890,54226,1.3037827092324616,1.3014061893078255,0.010945120716023453,1.32765,1.32765,1.28875,1.28875
31,20000717,1.29405,1.29715,1.28415,1.28785,9114,54809,1.3031578971056985,1.3011377499155914,0.01098581139491408,1.32765,1.32765,1.28875,1.28875
32,20000718,1.28995,1.29415,1.28675,1.28785,13801,58626,1.302557587415279,1.3008746261548867,0.010914805228678156,1.32765,1.32765,1.28785,1.28785
33,20000719,1.28825,1.29265,1.28665,1.28775,11905,56866,1.301976897712719,1.3006147325676611,0.010817482352862747,1.32765,1.32765,1.28785,1.28785
34,20000720,1.28785,1.29645,1.28755,1.29325,9380,56996,1.3016346664298672,1.3004688962791926,0.01077951240528131,1.32765,1.32765,1.28775,1.28775
35,20000721,1.29365,1.29525,1.27975,1.28255,25117,67776,1.3008862481385,1.3001140666499016,0.010872987407156929,1.32765,1.32765,1.28775,1.28775
36,20000724,1.28255,1.28605,1.28005,1.28365,9780,67414,1.300210316838951,1.2997880455281214,0.010776492607015208,1.32765,1.32765,1.28255,1.28255
37,20000725,1.28365,1.28485,1.27825,1.27905,8765,66566,1.2993805004923253,1.2993773911612279,0.010693789783113914,1.32765,1.32765,1.28255,1.28255
38,20000726,1.28015,1.28185,1.27725,1.27865,5728,66660,1.2985675396887046,1.2989669477718966,0.010573120678497796,1.32765,1.32765,1.27905,1.27905
39,20000727,1.27935,1.28265,1.27755,1.27885,8055,67695,1.297794302838167,1.2985685923704728,0.010464742051200812,1.32765,1.32765,1.27865,1.27865
40,20000728,1.27845,1.28415,1.27355,1.27535,20332,74829,1.2969141340994155,1.298108818264127,0.010467420426424557,1.32765,1.32765,1.27865,1.27865
41,20000731,1.27555,1.27875,1.27345,1.27705,11037,76036,1.296135148448458,1.297691811961867,0.010365095269465656,1.32765,1.32485,1.27535,1.27535
