,date,open,high,low,close,volume,open_volume,fast_lag,slow_lag,atr,last_high1,last_high2,last_low1,last_low2
0,20000601,18665,18830,18640,18795,2177,17971,18795.0,18795.0,190.0,,,,
1,20000602,19010,19145,18965,19130,2456,18755,18808.13725490196,18801.633663366338,193.16831683168317,,,,
2,20000605,19065,19105,18995,19015,4566,18661,18816.24951941561,18805.85873933928,192.01646897363003,19130.0,19130.0,18795.0,18795.0
3,20000606,19045,19055,18925,18935,5555,16459,18820.906401007156,18808.41599202563,190.7884200830631,19130.0,19130.0,18795.0,18795.0
4,20000607,18965,19155,18965,19220,4170,14208,18836.557130379424,18816.566170401362,191.36686721013115,19130.0,19130.0,18795.0,18795.0
5,20000608,18955,18985,18840,18850,2972,13000,18837.084301737093,18817.228226433017,195.10217677032657,19220.0,19220.0,18795.0,18795.0
6,20000609,18730,18765,18635,18745,997,13329,18833.473152649363,18815.79796452345,195.49619307190426,19220.0,19220.0,18795.0,18795.0
7,20000612,18875,18935,18760,18800,839,13334,18832.160479996448,18815.48513354279,195.38735756552992,19220.0,19220.0,18745.0,18745.0
8,20000613,18750,18945,18700,18925,666,13419,18835.801245486782,18817.653744759762,196.36978612858874,19220.0,19220.0,18745.0,18745.0
9,20000614,18555,18635,18500,18530,1645,13748,18823.80903978142,18811.957631002144,200.89711709633946,19220.0,19220.0,18745.0,18745.0
10,20000615,18240,18325,18200,18300,1304,13986,18803.2675088096,18801.819856130813,203.45360982710503,19220.0,19220.0,18530.0,18530.0
11,20000616,18350,18350,18175,18210,647,14153,18780.002116307263,18790.100651058914,202.8901720087465,19220.0,19220.0,18300.0,18300.0
12,20000619,18580,18660,18515,18650,1350,14266,18774.903994099135,18787.326380740917,207.7834359293654,19220.0,19220.0,18210.0,18210.0
13,20000620,18800,18835,18635,18755,1311,13776,18774.123445310935,18786.686254389613,207.62930848521955,19220.0,19220.0,18210.0,18210.0
14,20000621,18845,18975,18845,18955,1037,13806,18781.216643534037,18790.019199847244,207.87427267363105,19220.0,19220.0,18210.0,18210.0
15,20000622,18955,18985,18805,18845,1084,13757,18783.71795163074,18791.10792856314,207.3223068781136,19220.0,19220.0,18210.0,18210.0
16,20000623,18945,18945,18700,18765,894,13910,18782.983914311888,18790.59093987872,208.06839981122027,19220.0,19220.0,18210.0,18210.0
17,20000626,18865,18975,18815,18960,741,13848,18789.925721593776,18793.945574732606,208.10664931990897,19220.0,19220.0,18210.0,18210.0
18,20000627,19175,19225,19140,19175,792,14128,18805.02667368814,18801.49120691612,209.23325032347512,19220.0,19220.0,18210.0,18210.0
19,20000628,19175,19420,19140,19410,834,14099,18828.75111785723,18813.540885987088,210.6345720992479,19220.0,19220.0,18210.0,18210.0
20,20000629,19205,19325,19155,19190,2028,14397,18842.91774068636,18820.995521908135,211.51309542401526,19410.0,19410.0,18210.0,18210.0
21,20000630,19200,19395,19200,19395,822,14573,18864.568025365326,18832.361947216883,211.3841232374011,19410.0,19410.0,18210.0,18210.0
22,20000703,19410,19555,19360,19555,647,14607,18891.64378907649,18846.67161162843,211.05968515349215,19410.0,19410.0,18210.0,18210.0
23,20000705,19335,19340,19155,19185,1223,14933,18903.147954210745,18853.37118367539,214.80107752669034,19555.0,19555.0,18210.0,18210.0
24,20000706,19180,19320,19160,19270,849,14824,18917.53430894758,18861.621259246174,213.71590767467666,19555.0,19555.0,18210.0,18210.0
25,20000707,19305,19465,19295,19465,1005,14809,18939.00355173395,18873.569353122486,213.34529564151475,19555.0,19555.0,18210.0,18210.0
26,20000710,19450,19455,19355,19365,682,14687,18955.709294803208,18883.300653060654,211.29885414366296,19555.0,19555.0,18210.0,18210.0
27,20000711,19325,19435,19305,19365,802,14567,18971.75991069328,18892.839253990147,209.68897584378846,19555.0,19555.0,18210.0,18210.0
28,20000712,19200,19265,19130,19215,1595,14505,18981.298737724916,18899.218674703214,210.19018424292136,19555.0,19555.0,18210.0,18210.0
29,20000713,18980,19060,18885,18900,1042,14456,18978.110551931783,18899.234146491268,212.56265584207142,19555.0,19555.0,18210.0,18210.0
30,20000714,19075,19095,18975,19035,574,14519,18980.341510679555,18901.922579234015,212.21488047886209,19555.0,19555.0,18210.0,18210.0
31,20000717,19205,19235,19145,19225,543,14426,18989.93596124114,18908.32015192245,211.9730016574985,19555.0,19555.0,18210.0,18210.0
32,20000718,18775,18775,18685,18695,846,14532,18978.369845114037,18904.09599049824,218.46858578309258,19555.0,19555.0,18210.0,18210.0
33,20000719,18775,18775,18655,18725,643,14644,18968.433772756624,18900.54953524085,216.51871279728877,19555.0,19555.0,18210.0,18210.0
