,date,open,high,low,close,volume,open_volume,fast_lag,slow_lag,atr,last_high1,last_high2,last_low1,last_low2
0,20000601,167.5,168.0,165.75,166.0,458,8363,166.0,166.0,2.25,,,,
1,20000602,165.25,167.0,165.25,166.5,855,8325,166.01960784313727,166.009900990099,2.24009900990099,,,,
2,20000605,168.0,168.0,166.0,166.25,480,8140,166.0286428296809,166.01465542593863,2.2353445740613664,166.5,166.5,166.0,166.0
3,20000606,166.75,167.0,166.25,166.75,265,8101,166.05693134616402,166.02921670463292,2.205931810218567,166.5,166.5,166.0,166.0
4,20000607,166.5,166.5,164.0,164.5,909,7931,165.9958752149419,165.9989351857293,2.2167054377389914,166.75,166.75,166.0,166.0
5,20000608,164.38,165.5,164.0,164.75,232,7847,165.94701736337555,165.97420379591287,2.202513250853071,166.75,166.75,164.5,164.5
6,20000609,164.75,166.5,163.5,163.75,907,7988,165.86085981971377,165.93016015638983,2.2183050676678615,166.75,166.75,164.5,164.5
7,20000612,163.0,163.0,158.5,159.0,1556,7573,165.5918064934505,165.7929292622039,2.2783386306843396,166.75,166.75,163.75,163.75
8,20000613,160.13,160.25,159.0,159.0,692,7283,165.33330427802105,165.6584158114672,2.2579754894826696,166.75,166.75,159.0,159.0
9,20000614,158.25,158.75,157.75,158.0,1392,7053,165.04572371809866,165.5067640132203,2.2380155787998444,166.75,166.75,159.0,159.0
10,20000615,159.0,160.5,158.75,159.75,953,6675,164.83804827817323,165.39276868622585,2.2432033891206395,166.75,166.75,158.0,158.0
11,20000616,161.13,162.0,160.75,161.75,408,6602,164.71694834569584,165.32063465283525,2.2433379754746863,166.75,166.75,158.0,158.0
12,20000619,161.5,161.5,160.25,160.5,624,6341,164.55157782233522,165.22517654089793,2.2286184116039003,166.75,166.75,158.0,158.0
13,20000620,159.75,160.0,159.25,159.5,1203,5782,164.35347673126324,165.1118067084049,2.2092398291959023,166.75,166.75,158.0,158.0
14,20000621,159.38,162.0,159.25,161.25,1000,5722,164.2317717614098,165.0353352884365,2.219947951390043,166.75,166.75,158.0,158.0
15,20000622,162.5,162.5,161.25,161.25,791,5119,164.11483953547216,164.960378154012,2.2007410612635074,166.75,166.75,158.0,158.0
16,20000623,160.13,160.25,157.25,157.75,1317,4913,163.8652379850615,164.81759838858602,2.2363699511394777,166.75,166.75,158.0,158.0
17,20000626,155.38,156.5,155.25,155.75,1068,5637,163.54699335819635,164.63804198485164,2.241590348146617,166.75,166.75,157.75,157.75
18,20000627,156.88,157.5,156.5,156.5,839,5901,163.27064067748276,164.47689263861696,2.23185588580708,166.75,166.75,155.75,155.75
19,20000628,156.0,156.25,155.0,155.75,1534,5955,162.97571359209127,164.30408288339683,2.217363690048524,166.75,166.75,155.75,155.75
20,20000629,156.75,156.75,155.0,155.25,1952,6778,162.6727444316171,164.12479411342858,2.2081089635129096,166.75,166.75,155.75,155.75
21,20000630,155.75,155.75,150.75,150.75,2283,7524,162.20518582645565,163.85994670524187,2.263393934532456,166.75,166.75,155.25,155.25
22,20000703,150.75,150.75,146.5,148.0,1850,7577,161.64811971561426,163.545888354643,2.3027326685021103,166.75,166.75,150.75,150.75
23,20000705,148.0,149.5,148.0,148.5,884,7263,161.13250717774704,163.24794997138275,2.286836972096128,166.75,166.75,148.0,148.0
24,20000706,148.0,148.5,147.5,148.0,777,7108,160.61750689626678,162.94601036798903,2.261355051856601,166.75,166.75,148.0,148.0
25,20000707,151.25,152.0,150.5,151.5,1011,7090,160.25995760621709,162.7193566973358,2.2957836646911236,166.75,166.75,148.0,148.0
26,20000710,150.5,153.75,150.0,153.0,892,7065,159.97525338636544,162.52689418847766,2.324580027766547,166.75,166.75,148.0,148.0
27,20000711,153.0,154.25,153.0,153.5,697,7323,159.7213218810178,162.3481438085078,2.303301215335526,166.75,166.75,148.0,148.0
28,20000712,152.0,153.0,151.5,152.5,652,7312,159.43813278764455,162.1531310598245,2.2972952506754165,166.75,166.75,148.0,148.0
29,20000713,154.0,154.75,153.25,153.25,652,7444,159.19546091361929,161.97683143487748,2.2963587110580814,166.75,164.75,148.0,148.0
30,20000714,153.25,153.25,151.25,151.75,485,7682,158.90348205426167,161.77431992131554,2.290490221730199,166.75,164.75,148.0,148.0
31,20000717,151.75,151.75,149.5,151.0,721,7622,158.59354158154554,161.56096705158652,2.289688435161284,166.75,163.75,148.0,148.0
32,20000718,152.5,154.0,152.5,152.5,666,7579,158.35457916658297,161.3815419614561,2.3037540107026446,166.75,161.75,148.0,148.0
33,20000719,153.0,154.5,152.75,154.0,592,7753,158.18381135612873,161.2353728137045,2.297739079797642,166.75,161.75,148.0,148.0
34,20000720,156.63,158.25,156.5,156.75,1959,7927,158.12758345980996,161.14655355006678,2.3363977118808568,166.75,161.75,148.0,148.0
35,20000721,157.5,159.25,157.0,159.0,1213,8089,158.16179587315074,161.10404753917436,2.3396373611505425,166.75,161.75,148.0,148.0
36,20000724,159.0,160.5,150.0,154.25,2386,7603,158.00839211341935,160.96832382552734,2.5012287005337,166.75,161.75,148.0,148.0
37,20000725,154.75,154.75,153.25,154.25,491,7587,157.8610041874029,160.83528771017035,2.4814023896320427,166.75,161.25,148.0,148.0
38,20000726,155.5,156.0,152.5,154.5,600,7843,157.72920010162238,160.7098364683848,2.5015726393422995,166.75,161.25,148.0,148.0
39,20000727,154.88,155.25,154.75,155.0,197,7870,157.6221726466568,160.5967703997039,2.46688803262265,166.75,161.25,148.0,148.0
40,20000728,155.38,155.5,154.25,154.5,303,7948,157.49973450365064,160.47604227297708,2.4427912398974487,166.75,161.25,148.0,148.0
41,20000731,153.25,154.75,153.25,154.5,333,8119,157.38209785644867,160.35770480222507,2.4241221064341327,166.75,159.0,148.0,148.0
42,20000801,154.75,155.25,153.5,154.0,330,8006,157.2494665679605,160.23180965762654,2.4107731538314767,166.75,159.0,148.0,148.0
