,date,open,high,low,close,volume,open_volume,fast_lag,slow_lag,atr,last_high1,last_high2,last_low1,last_low2
0,20000601,680.3,680.3,673.3,680.3,143,1883,680.3,680.3,7.0,,,,
1,20000602,686.3,707.3,686.3,693.65,283,1927,680.8235294117646,680.5643564356435,7.396039603960396,,,,
2,20000605,702.3,717.3,700.3,716.45,128,1939,682.220645905421,681.2749632388981,7.71790020586217,693.65,693.65,680.3,680.3
3,20000606,716.45,720.3,709.3,718.45,141,1981,683.641404889522,682.0111025807021,7.782892280993613,716.45,716.45,680.3,680.3
4,20000607,722.3,741.3,722.3,738.95,306,1870,685.8103694036585,683.1386054998961,8.081250849686807,718.45,718.45,680.3,680.3
5,20000608,737.3,743.3,737.3,742.0,133,1857,688.0138843290052,684.3041776682151,8.040037961574196,738.95,738.95,680.3,680.3
6,20000609,744.3,752.3,742.0,742.85,180,1843,690.1643202376717,685.4635008827058,8.08478968510738,742.0,742.0,680.3,680.3
7,20000612,742.8,747.3,742.8,744.55,40,1855,692.2970919930572,686.6335305681968,8.013803750748817,742.85,742.85,680.3,680.3
8,20000613,747.55,770.3,747.55,764.6,245,1769,695.1325001501922,688.1774210519949,8.365015557664682,744.55,744.55,680.3,680.3
9,20000614,764.3,764.3,757.3,762.3,52,1807,697.7665197521454,689.6451948925494,8.343926140681225,764.6,764.6,680.3,680.3
10,20000615,761.4,772.3,761.3,769.2,41,1799,700.5678327030416,691.2205375679445,8.396521662647933,764.6,764.6,680.3,680.3
11,20000616,782.3,783.3,778.3,782.25,46,1804,703.7710549499811,693.0231011804605,8.509461827744012,769.2,769.2,680.3,680.3
12,20000619,791.3,791.3,784.8,789.45,84,1857,707.1310135793937,694.9325447214414,8.520165553927297,782.25,782.25,680.3,680.3
13,20000620,789.3,790.3,785.3,785.3,31,1864,710.1964640272606,696.7219992814129,8.450459305334677,789.45,789.45,680.3,680.3
14,20000621,785.3,785.3,775.55,776.75,65,1869,712.8064066144269,698.3067121669294,8.476192784436961,789.45,789.45,680.3,680.3
15,20000622,760.3,765.3,747.3,748.95,161,1863,714.223802433469,699.3095495497624,8.891515699596626,789.45,789.45,680.3,680.3
16,20000623,752.3,759.3,750.3,759.3,48,1841,715.9914964556859,700.4974792616483,8.920396576832335,789.45,789.45,680.3,680.3
17,20000626,762.3,767.3,762.3,764.3,73,1885,717.8859475750708,701.7608955138929,8.902170902043576,789.45,789.45,680.3,680.3
18,20000627,757.3,757.3,747.3,751.45,31,1873,719.202184925068,702.7448381769842,9.062523953488258,789.45,789.45,680.3,680.3
19,20000628,751.45,762.3,747.3,757.55,128,1835,720.7060208103594,703.8300889061528,9.1800977365875,789.45,789.45,680.3,680.3
20,20000629,756.9,756.9,749.3,751.6,28,1830,721.9175494060316,704.7760277396943,9.161679959625372,789.45,789.45,680.3,680.3
21,20000630,732.3,745.3,732.3,745.25,80,1780,722.8325474685402,705.577492536928,9.36243877230606,789.45,789.45,680.3,680.3
22,20000705,721.3,724.3,715.3,722.85,197,1822,722.8332318815386,705.9195223876819,9.770113252062377,789.45,789.45,680.3,680.3
