,date,open,high,low,close,volume,open_volume,fast_lag,slow_lag,atr,last_high1,last_high2,last_low1,last_low2
0,20000601,0.053,0.098,0.043,0.0947,22631,43475,0.0947,0.0947,0.05500000000000001,,,,
1,20000602,0.096,0.108,0.08,0.0966,15297,44052,0.09477450980392157,0.09473762376237624,0.05446534653465347,,,,
2,20000605,0.1,0.102,0.062,0.0769,23236,41352,0.09407354863514034,0.09438440348985394,0.05417890402901677,0.0966,0.0966,0.0947,0.0947
3,20000606,0.076,0.086,0.0555,0.0663,18588,40721,0.09298438986513484,0.09382827668807465,0.05371001484032337,0.0966,0.0966,0.0769,0.0769
4,20000607,0.066,0.092,0.042,0.0886,22791,39751,0.09281245300767857,0.09372474645662764,0.053636549199920926,0.0966,0.0966,0.0663,0.0663
5,20000608,0.0894,0.105,0.079,0.0877,18871,38938,0.09261196465443627,0.0936054445465954,0.053089290799922494,0.0966,0.0966,0.0663,0.0663
6,20000609,0.0865,0.105,0.0845,0.0962,10495,37747,0.09275267192288976,0.09365682188230638,0.05244395830883492,0.0966,0.0966,0.0663,0.0663
7,20000612,0.108,0.125,0.1,0.122,18170,35936,0.09389962596512938,0.0942180729341419,0.05197576111460057,0.0966,0.0966,0.0663,0.0663
8,20000613,0.123,0.147,0.115,0.1402,17153,36983,0.09571532690767333,0.09512860614336681,0.05158020148856887,0.122,0.122,0.0663,0.0663
9,20000614,0.1392,0.174,0.1392,0.1585,19016,37450,0.09817747095050967,0.09638348522963677,0.05124792027097345,0.1402,0.1402,0.0663,0.0663
10,20000615,0.158,0.173,0.153,0.166,13568,36333,0.10083717797205831,0.09776203007657466,0.05062914957253833,0.1585,0.1585,0.0663,0.0663
11,20000616,0.164,0.164,0.114,0.1435,18121,35971,0.10251022981629132,0.09866773245129595,0.050656295125557374,0.166,0.166,0.0663,0.0663
12,20000619,0.1355,0.158,0.111,0.1306,19994,33859,0.10361178943133872,0.09930005458097325,0.05058389324188297,0.166,0.166,0.0663,0.0663
13,20000620,0.127,0.136,0.118,0.1306,16253,32690,0.10467015063010976,0.09991985548035992,0.04993866763313281,0.166,0.166,0.0663,0.0663
14,20000621,0.1305,0.134,0.0985,0.1171,19135,30220,0.10515759570343879,0.10026005636193695,0.049652753422575725,0.166,0.166,0.0663,0.0663
15,20000622,0.1162,0.1615,0.1135,0.1593,18485,29839,0.1072808272444804,0.10142916415675009,0.04962002563202967,0.166,0.166,0.0663,0.0663
16,20000623,0.16,0.165,0.129,0.159,25715,28418,0.10930903009763804,0.10256918070810157,0.049350322154167695,0.166,0.166,0.0663,0.0663
17,20000626,0.1605,0.166,0.128,0.1297,20933,24677,0.11010867597616204,0.1031064246544758,0.04912556329962972,0.166,0.166,0.0663,0.0663
18,20000627,0.1287,0.1562,0.1142,0.1432,15019,35365,0.11140637495748902,0.10390035683953568,0.048984463036270715,0.166,0.166,0.0663,0.0663
19,20000628,0.1382,0.1477,0.1242,0.1273,15685,34873,0.11202965437092083,0.10436371611003992,0.04847982020386932,0.166,0.166,0.0663,0.0663
20,20000629,0.1262,0.1432,0.1062,0.1419,19433,34584,0.11320104047402198,0.10510700886033615,0.04825249703151547,0.166,0.166,0.0663,0.0663
21,20000630,0.1382,0.1542,0.1302,0.1361,16559,34637,0.11409903888680543,0.10572073145716118,0.047772249565544864,0.166,0.166,0.0663,0.0663
22,20000705,0.1262,0.1262,0.0582,0.0887,14153,34764,0.1131029981461464,0.10538368726989067,0.04836883868305883,0.166,0.166,0.0663,0.0663
23,20000706,0.0902,0.0932,0.0357,0.0484,19154,32636,0.11056562566982693,0.10425529742296213,0.04854965375864182,0.166,0.166,0.0663,0.0663
24,20000707,0.0507,0.0672,0.0312,0.0546,17367,32548,0.10837089525140234,0.10327202420666586,0.04830114576342119,0.166,0.166,0.0484,0.0484
25,20000710,0.0532,0.0832,0.0422,0.0776,18854,32850,0.10716419347683755,0.10276366729168238,0.04815656861959107,0.166,0.166,0.0484,0.0484
26,20000711,0.0782,0.0922,0.0607,0.0892,17126,32604,0.10645971530127529,0.10249507982055996,0.04782673557761897,0.166,0.166,0.0484,0.0484
27,20000712,0.0857,0.1032,0.0712,0.0908,17652,31157,0.10584560881887234,0.10226349408153897,0.047513334873111664,0.166,0.166,0.0484,0.0484
28,20000713,0.0892,0.1042,0.0757,0.1006,17627,30287,0.10563989866911264,0.10223055360467681,0.047136833192455985,0.166,0.166,0.0484,0.0484
29,20000714,0.1006,0.1137,0.0857,0.0912,12890,30630,0.105073628133069,0.1020121268006238,0.04675788600052616,0.166,0.166,0.0484,0.0484
30,20000717,0.0792,0.0902,0.0712,0.0879,14075,29318,0.10440015252000748,0.1017326787451659,0.04622802687180287,0.166,0.166,0.0484,0.0484
31,20000718,0.0857,0.1182,0.0822,0.1096,17508,28502,0.10460406810745816,0.10188846728486559,0.046025491686222615,0.166,0.166,0.0484,0.0484
32,20000719,0.1057,0.1272,0.0882,0.1046,16824,26353,0.10460390857383235,0.10194216100199696,0.04588637303897068,0.166,0.166,0.0484,0.0484
33,20000720,0.1002,0.1022,0.0742,0.0871,17344,24352,0.10391748078662325,0.1016482568237396,0.04557971218671383,0.166,0.166,0.0484,0.0484
34,20000721,0.0809,0.0809,0.0364,0.0413,12725,29216,0.10146189330479488,0.10045324183713089,0.04568110402460069,0.166,0.166,0.0484,0.0484
35,20000724,0.0394,0.0414,0.0044,0.006,14867,30312,0.09771828964578332,0.09858288061263325,0.045509200974608595,0.166,0.166,0.0413,0.0413
36,20000725,0.0064,0.0214,-0.0081,0.0067,18327,29779,0.09414894495379181,0.09676341763020486,0.045192187093923274,0.166,0.1593,0.006,0.006
37,20000726,0.0114,0.0309,-0.0036,0.0138,15523,32148,0.09099800593599605,0.0951205776771315,0.04498046061681588,0.166,0.1593,0.006,0.006
38,20000727,0.0184,0.0314,0.0144,0.0256,13231,33848,0.0884333782522315,0.09374393257461405,0.044438273277869034,0.166,0.1593,0.006,0.006
39,20000728,0.0304,0.0414,0.0294,0.0364,13837,34060,0.08639285361488909,0.09260840915729496,0.04387117875751519,0.166,0.1593,0.006,0.006
