,date,open,high,low,close,volume,open_volume,fast_lag,slow_lag,atr,last_high1,last_high2,last_low1,last_low2
0,20000601,31.5,33.5,30.0,30.5,25987,81838,30.5,30.5,3.5,,,,
1,20000602,30.5,42.5,26.5,41.75,28128,81470,30.941176470588236,30.722772277227723,3.7475247524752477,,,,
2,20000605,45.75,50.0,34.0,37.25,32971,78187,31.188581314878892,30.852024311342024,3.9901480247034606,41.75,41.75,30.5,30.5
3,20000606,37.25,40.0,29.5,38.5,33062,75354,31.47530361625619,31.003469374483767,4.1190559846103225,41.75,41.75,30.5,30.5
4,20000607,42.75,43.0,25.5,30.5,37835,72510,31.437056415618695,30.99349968389993,4.384025173033881,41.75,41.75,30.5,30.5
5,20000608,30.5,33.5,26.5,29.5,25982,68899,31.361093418927766,30.963925432733596,4.435826654755982,41.75,41.75,30.5,30.5
6,20000609,30.5,31.75,25.75,28.75,29243,65713,31.25869759857766,30.920085325154712,4.466800384364775,41.75,41.75,29.5,29.5
7,20000612,23.5,23.5,9.5,18.5,47594,61056,30.758356516280497,30.674143041488282,4.759537010416958,41.75,41.75,28.75,28.75
8,20000613,18.0,22.5,14.5,18.5,36587,55224,30.27763665289695,30.433070902052872,4.823704594369097,41.75,41.75,18.5,18.5
9,20000614,16.75,23.0,7.5,18.75,52420,49004,29.8255724704304,30.20172296339836,5.03511638457961,41.75,41.75,18.5,18.5
10,20000615,21.0,24.0,17.5,18.0,22629,62655,29.36182453041352,29.960104686895423,5.064123980924569,41.75,41.75,18.5,18.5
11,20000616,21.5,27.25,21.0,23.75,25018,63709,29.141752980201225,29.83713231685789,5.147012614965666,41.75,41.75,18.0,18.0
12,20000619,28.0,28.0,16.0,18.75,22968,65475,28.734233255487453,29.617585142266645,5.282715335461395,41.75,41.75,18.0,18.0
13,20000620,17.0,19.25,8.0,10.0,32083,65698,27.99955744154677,29.229118109746512,5.400879388224536,41.75,41.75,18.0,18.0
14,20000621,9.5,16.0,8.5,12.0,23083,66904,27.372123816388072,28.887947454107966,5.442446133012169,41.75,41.75,10.0,10.0
15,20000622,12.0,16.5,6.0,6.5,21288,66543,26.553609156921873,28.444621761947413,5.54259571453668,41.75,41.75,10.0,10.0
16,20000623,6.5,8.5,1.5,2.75,24244,66717,25.620134288022975,27.935817370621724,5.571455205337934,41.75,41.75,6.5,6.5
17,20000626,-7.0,-0.25,-7.0,-2.0,30354,70422,24.536991766924036,27.343028907837134,5.65419866661837,41.75,41.75,2.75,2.75
18,20000627,-1.0,6.5,-1.75,4.25,27440,71550,23.74142346233878,26.885741206691844,5.710551168269491,41.75,41.75,-2.0,-2.0
19,20000628,6.0,11.5,0.0,6.75,31356,72222,23.075093130482358,26.48701365804448,5.825193719392868,41.75,41.75,-2.0,-2.0
20,20000629,7.0,16.5,7.0,14.75,25549,71282,22.748618890071285,26.254597546003993,5.902912655642513,41.75,41.75,-2.0,-2.0
21,20000630,14.5,17.0,-3.0,-0.25,32618,72696,21.846712266931235,25.729754030241537,6.182062900085236,41.75,41.75,-2.0,-2.0
22,20000703,0.0,2.5,-15.5,-6.5,25595,71624,20.73507649175746,25.091541079147646,6.4160814565191915,41.75,41.75,-2.0,-2.0
23,20000705,-4.5,-2.25,-11.0,-5.0,17743,71288,19.72585780580619,24.495668978570464,6.46229766530099,41.75,41.75,-6.5,-6.5
24,20000706,-6.5,-5.0,-19.5,-16.5,32844,70872,18.30523593106869,23.683873553252237,6.621460087770277,41.75,41.75,-6.5,-6.5
25,20000707,-16.5,-4.0,-16.5,-9.0,24709,72042,17.234442365144428,23.036668136356152,6.737866818705519,41.75,41.75,-16.5,-16.5
26,20000710,-14.5,-10.0,-24.0,-10.5,27062,73708,16.14681717435445,22.372575698012465,6.901473416354914,41.75,41.75,-16.5,-16.5
27,20000711,-9.5,-9.0,-20.0,-19.25,21630,73269,14.758706696928785,21.54836627824984,6.982632358605312,41.75,38.5,-16.5,-16.5
28,20000712,-19.0,-12.0,-25.5,-14.0,31244,75022,13.630914277441383,20.844438233135982,7.111689143583425,41.75,38.5,-19.25,-19.25
29,20000713,-13.5,-10.25,-19.0,-16.75,20960,75548,12.439505874404466,20.099993911687744,7.144130942720387,41.75,30.5,-19.25,-19.25
30,20000714,-16.0,-14.0,-26.5,-23.0,28127,75377,11.049721330310174,19.246528685713727,7.2501877557358245,41.75,29.5,-19.25,-19.25
31,20000717,-26.25,-24.0,-31.5,-28.5,28093,74746,9.498751866376441,18.30105287015504,7.274936513047987,41.75,28.75,-23.0,-23.0
32,20000718,-27.5,-22.5,-27.5,-25.75,21606,73975,8.11644787161658,17.428754793518305,7.249690245462878,41.75,23.75,-28.5,-28.5
33,20000719,-26.5,-17.0,-29.5,-20.75,33414,74820,6.984430308023773,16.672739847112002,7.3536567752556925,41.75,23.75,-28.5,-28.5
34,20000720,-20.5,-13.0,-21.0,-14.75,25032,73704,6.1320997077091155,16.05050737489196,7.3664556509932035,41.75,23.75,-28.5,-28.5
35,20000721,-15.0,-7.0,-17.0,-7.5,28640,73488,5.597507562308758,15.584160694201032,7.4186050440428435,41.75,23.75,-28.5,-28.5
36,20000724,-4.0,2.25,-14.5,-12.5,29845,74486,4.887801383394689,15.028038700256456,7.603385142180609,41.75,23.75,-28.5,-28.5
37,20000725,-15.0,-14.5,-21.75,-19.0,28007,72794,3.9510248585556815,14.354216151736527,7.635991376988914,41.75,18.75,-28.5,-28.5
38,20000726,-19.0,-16.25,-22.75,-18.5,19416,72858,3.0705925111613412,13.703637614078378,7.613496498236658,41.75,14.75,-28.5,-28.5
39,20000727,-19.0,-12.0,-19.25,-14.5,22337,73230,2.3815496675863868,13.145149740532272,7.606298547776526,41.75,14.75,-28.5,-28.5
40,20000728,-14.5,-9.5,-21.5,-20.75,31894,75917,1.4744300727790773,12.473958656561337,7.693302536929466,41.75,14.75,-28.5,-28.5
41,20000731,-26.5,-19.25,-29.0,-23.0,27175,75017,0.5146485012975448,11.771504029698736,7.734029219366507,41.75,14.75,-28.5,-28.5
42,20000801,-21.5,-19.0,-27.5,-26.25,26226,74004,-0.5349455575768687,11.018602959803712,7.749196957596873,41.75,14.75,-28.5,-28.5
43,20000802,-26.25,-18.5,-27.0,-20.75,18885,74473,-1.32769279061307,10.389521713074926,7.764064344575153,41.75,14.75,-28.5,-28.5
44,20000803,-21.0,-20.0,-26.75,-25.5,20802,74480,-2.2756264066674596,9.678838114796214,7.743983862504358,41.75,14.75,-28.5,-28.5
45,20000804,-26.0,-23.5,-29.0,-27.25,17530,74639,-3.2550136064059907,8.94757399371114,7.699548538494371,41.75,14.75,-28.5,-28.5
46,20000807,-23.5,-21.0,-31.0,-30.25,20341,74628,-4.313640523801834,8.171384409677255,7.745102032781611,41.75,-0.25,-28.5,-28.5
47,20000808,-28.0,-22.25,-28.5,-23.5,21170,74853,-5.0660467777703895,7.544228282752953,7.750149517280986,41.75,-5.0,-30.25,-30.25
48,20000809,-25.0,-23.25,-27.0,-25.0,14316,75130,-5.8477704335441,6.8997881187380425,7.670938635750669,41.75,-5.0,-30.25,-30.25
49,20000810,-25.0,-19.0,-26.5,-20.25,18936,73386,-6.412563749875704,6.362168552030359,7.667553712270458,41.75,-7.5,-30.25,-30.25
50,20000811,-20.5,-10.0,-24.0,-15.0,39150,77363,-6.749325955762932,5.939155313376292,7.792948688265102,41.75,-7.5,-30.25,-30.25
51,20000814,-13.5,-11.5,-17.0,-12.0,18847,76739,-6.955234741811444,5.5839245150916135,7.747543763745001,41.75,-7.5,-30.25,-30.25
52,20000815,-11.0,-8.0,-14.75,-10.0,24341,76696,-7.074637300956093,5.275331950436334,7.727790421888664,38.5,-7.5,-30.25,-30.25
53,20000816,-10.25,-2.0,-10.5,-2.5,26853,76526,-6.895239759742129,5.121364981120763,7.743081700663146,38.5,-7.5,-30.25,-30.25
54,20000817,-2.0,-0.5,-9.5,-8.0,30558,74576,-6.938563690732634,4.86153597159362,7.767971171937144,30.5,-2.5,-30.25,-30.25
55,20000818,-8.25,-7.5,-12.5,-10.0,18419,74541,-7.058620016586256,4.567248130571964,7.7131598616017545,29.5,-2.5,-30.25,-30.25
56,20000821,-11.5,-5.0,-14.0,-5.75,22099,76086,-7.007301584563266,4.362946187392321,7.738641844540334,28.75,-2.5,-30.25,-30.25
57,20000822,-4.25,-1.25,-11.0,-9.5,28482,76141,-7.105054463600001,4.088432401503364,7.778470718905872,23.75,-2.5,-30.25,-30.25
58,20000823,-10.25,-7.5,-11.5,-8.0,19704,76104,-7.1401503669882365,3.8490575024636935,7.703649516551301,23.75,-2.5,-30.25,-30.25
59,20000824,-7.0,-4.5,-10.5,-6.0,19247,77539,-7.0954385878906585,3.6540266608307492,7.669913882560186,23.75,-2.5,-30.25,-30.25
60,20000825,-5.75,-2.25,-6.75,-6.0,19717,79019,-7.052480211894946,3.4628578160618235,7.6071433106283015,23.75,-2.5,-30.25,-30.25
61,20000828,-2.0,5.0,-2.0,3.25,35205,82696,-6.648461380055929,3.4586428098031736,7.674328591605959,23.75,-2.5,-30.25,-30.25
62,20000829,8.75,19.0,8.0,18.25,54033,83768,-5.672051129857658,3.751540971985289,7.834242876920692,18.75,3.25,-30.25,-30.25
63,20000830,17.0,22.0,15.0,15.25,43699,84061,-4.851578536529907,3.979233229965778,7.8177232159915695,18.25,18.25,-30.25,-30.25
64,20000831,15.0,28.5,14.5,28.0,53503,83589,-3.56328133901893,4.454891977887248,7.940144538447182,18.25,18.25,-30.25,-30.25
65,20000901,27.75,31.0,23.5,26.5,38300,82803,-2.384329129645639,4.891428770404332,7.931428805012584,28.0,28.0,-30.25,-30.25
66,20000905,31.0,38.5,30.5,35.75,47678,87411,-0.888865242208555,5.5024895868319685,8.011994571249959,28.0,28.0,-30.25,-30.25
67,20000906,34.0,34.75,17.5,18.25,47303,87672,-0.13832150721998415,5.754915535607573,8.214727352017286,35.75,35.75,-30.25,-30.25
68,20000907,18.5,19.0,11.0,13.0,31855,87488,0.3769067871807995,5.898382554704453,8.210475325244667,35.75,35.75,-30.25,-30.25
69,20000908,13.0,28.5,12.5,28.0,31558,88647,1.4601653445462581,6.336038345700405,8.36472333860616,35.75,35.75,-30.25,-30.25
70,20000911,26.5,29.75,20.5,29.0,23914,87451,2.5401588604464047,6.784829665587525,8.382253569524849,35.75,35.75,-30.25,-30.25
71,20000912,30.5,34.0,19.0,28.5,48704,87572,3.5581918463112516,7.214833038546188,8.513298053296634,35.75,35.75,-30.25,-30.25
72,20000913,29.0,31.0,21.0,22.5,27009,88196,4.3010078523382616,7.517509612040323,8.542737695805611,35.75,35.75,-30.25,-25.0
73,20000914,22.0,22.5,13.5,14.75,29524,89395,4.710772250285781,7.660727243485069,8.55179239489857,35.75,35.75,-30.25,-25.0
74,20000915,14.0,16.75,5.5,6.25,38222,90320,4.771134122823593,7.63279205054477,8.605222248464935,35.75,35.75,-30.25,-20.25
75,20000918,6.25,13.5,5.0,11.5,37306,89281,5.035011216046197,7.709370425781508,8.603138639584442,35.75,35.75,-30.25,-15.0
76,20000919,8.0,11.0,6.0,6.75,26065,88416,5.102265678162032,7.6903729916076164,8.541690349691681,35.75,35.75,-30.25,-12.0
77,20000920,6.5,18.5,6.0,10.5,37150,89956,5.313941533920384,7.746009169991624,8.620072719004717,35.75,35.75,-30.25,-10.0
78,20000921,9.75,18.25,8.25,14.75,26704,90526,5.683983042394095,7.884702057714563,8.647398011697693,35.75,35.75,-30.25,-10.0
79,20000922,13.0,22.5,12.5,19.0,30605,89962,6.206179785829621,8.104806967462789,8.674182209485856,35.75,35.75,-30.25,-10.0
80,20000925,18.75,21.0,14.0,16.5,29098,89204,6.609859009914733,8.271048413651645,8.64103008652574,35.75,35.75,-30.25,-10.0
81,20000926,17.5,22.0,15.5,16.75,27889,90743,7.007511597761214,8.438948445064483,8.598633451148993,35.75,35.75,-30.25,-9.5
82,20000927,16.25,19.5,12.25,18.75,27604,91992,7.46800133902548,8.643127683776077,8.571927838254954,35.75,35.75,-30.25,-9.5
83,20000928,18.25,25.75,18.25,21.25,34092,93132,8.00847187474997,8.892768719740907,8.550701544428124,35.75,35.75,-30.25,-8.0
84,20000929,21.0,22.0,13.0,13.5,41216,92243,8.223825918877422,8.984001022320296,8.55959854354836,35.75,35.75,-30.25,-6.0
85,20001002,11.25,16.5,9.0,12.5,36266,95091,8.391519020097915,9.053624764452568,8.538616394171164,35.75,35.75,-30.25,-6.0
86,20001003,12.25,14.5,8.0,12.0,37036,93206,8.533028078133292,9.111968828522814,8.498247752702428,35.75,35.75,-30.25,3.25
87,20001004,11.25,15.0,8.0,9.25,33091,92479,8.561144624088849,9.114702119047115,8.468579480371686,35.75,35.75,-30.25,6.25
88,20001005,8.5,10.25,4.5,8.0,25664,92626,8.539138952555952,9.092628809759052,8.414746223334623,35.75,35.75,-30.25,6.25
89,20001006,7.0,11.75,7.0,8.0,25571,92811,8.51799624853415,9.070992595704418,8.342176991189383,35.75,35.75,-30.25,6.25
90,20001009,7.0,8.0,5.5,6.0,18555,93192,8.419251297611241,9.010180861136014,8.226490318096523,35.75,35.75,-30.25,6.25
91,20001010,5.75,9.5,5.25,8.75,28216,94047,8.43222183495982,9.005028764875895,8.14774793555996,35.75,35.75,-30.25,6.0
