,date,open,high,low,close,volume,open_volume,fast_lag,slow_lag,atr,last_high1,last_high2,last_low1,last_low2
0,20000601,1165.9,1165.9,1158.4,1163.9,10315,62341,1163.9,1163.9,7.5,,,,
1,20000602,1164.4,1176.4,1162.9,1172.4,29823,57938,1164.2333333333333,1164.0683168316832,7.618811881188119,,,,
2,20000605,1172.4,1177.9,1171.9,1174.9,9883,56802,1164.6516339869281,1164.2828056072935,7.586756200372513,1172.4,1172.4,1163.9,1163.9
3,20000606,1174.4,1184.4,1172.4,1178.4,24055,53436,1165.1907855952838,1164.5623540111096,7.67414716670177,1174.9,1174.9,1163.9,1163.9
4,20000607,1178.4,1180.9,1175.9,1179.4,11683,53003,1165.7480096895865,1164.8561687831668,7.621193757460151,1178.4,1178.4,1163.9,1163.9
5,20000608,1178.4,1182.9,1175.4,1177.1,244,53627,1166.193185780191,1165.0986208864704,7.618793881074802,1179.4,1179.4,1163.9,1163.9
6,20000609,1177.4,1178.9,1171.4,1173.6,7646,50681,1166.4836490829287,1165.2669650273324,7.616441526994112,1179.4,1179.4,1163.9,1163.9
7,20000612,1174.4,1174.4,1169.9,1171.6,7800,50243,1166.6842902953629,1165.3923716604545,7.554729813588288,1179.4,1179.4,1163.9,1163.9
8,20000613,1172.4,1181.4,1168.9,1169.9,15943,50141,1166.8103965582898,1165.4816316275742,7.65265595589347,1179.4,1179.4,1163.9,1163.9
9,20000614,1169.9,1178.4,1168.9,1176.4,12103,48715,1167.186459438357,1165.6978369418796,7.689237026073798,1179.4,1179.4,1163.9,1163.9
10,20000615,1176.9,1178.9,1173.9,1175.1,5461,48140,1167.4967943623428,1165.884018388575,7.635984807735703,1179.4,1179.4,1163.9,1163.9
11,20000616,1175.4,1178.4,1173.9,1175.9,5721,45732,1167.8263318383295,1166.0823546581082,7.57388609867163,1179.4,1179.4,1163.9,1163.9
12,20000619,1176.4,1176.4,1169.9,1171.7,8606,44987,1167.978240393689,1166.1935951599278,7.552621027410805,1179.4,1179.4,1163.9,1163.9
13,20000620,1171.9,1173.9,1169.9,1170.9,5844,43521,1168.0928192017795,1166.2867912953748,7.482272096174948,1179.4,1179.4,1163.9,1163.9
14,20000621,1170.9,1172.9,1163.4,1164.4,21827,41558,1167.948002762494,1166.249429091506,7.522227104171484,1179.4,1179.4,1163.9,1163.9
15,20000622,1164.4,1167.4,1162.4,1165.2,10240,38708,1167.8402379482786,1166.2286483174169,7.472282012999771,1179.4,1179.4,1163.9,1163.9
16,20000623,1165.4,1165.9,1162.4,1163.2,10539,33751,1167.65826783266,1166.1686750834085,7.393622963237399,1179.4,1179.4,1163.9,1163.9
17,20000626,1163.9,1166.9,1161.4,1165.9,11937,28616,1167.5893161529477,1166.163354784727,7.356125478816856,1179.4,1179.4,1163.2,1163.2
18,20000627,1166.4,1167.4,1160.9,1163.2,15243,20816,1167.417186107734,1166.1046744919602,7.3391724990383045,1179.4,1179.4,1163.2,1163.2
19,20000628,1163.5,1166.5,1163.0,1166.3,13839,48021,1167.373374887823,1166.1085423238026,7.263149281235566,1179.4,1179.4,1163.2,1163.2
20,20000629,1166.0,1174.5,1165.5,1168.3,31027,52318,1167.4097131275162,1166.1519375253115,7.297542364775455,1179.4,1179.4,1163.2,1163.2
21,20000630,1168.5,1173.5,1168.0,1170.8,9586,52187,1167.5426655538881,1166.2439783663945,7.26194746646307,1179.4,1179.4,1163.2,1163.2
22,20000705,1168.0,1170.0,1164.0,1166.5,8943,53509,1167.5017767086376,1166.2490481017135,7.252799991879642,1179.4,1179.4,1163.2,1163.2
23,20000706,1166.5,1170.5,1165.5,1167.8,6093,52759,1167.5134717396716,1166.2797600204915,7.2081900910503425,1179.4,1179.4,1163.2,1163.2
24,20000707,1167.5,1168.0,1163.5,1165.8,7004,53239,1167.4462767694883,1166.270259822066,7.15456256449489,1179.4,1179.4,1163.2,1163.2
25,20000710,1166.5,1169.0,1166.0,1167.8,3900,52734,1167.4601482687242,1166.3005517067775,7.076254394900933,1179.4,1179.4,1163.2,1163.2
26,20000711,1167.5,1168.5,1163.0,1163.5,9333,54369,1167.3048483366174,1166.2450952373363,7.045041436586063,1179.4,1179.4,1163.2,1163.2
27,20000712,1164.0,1167.5,1161.5,1164.8,6960,54550,1167.2066189900834,1166.2164794900623,7.024347546752676,1179.4,1179.4,1163.2,1163.2
28,20000713,1165.0,1167.5,1162.5,1165.5,6969,53934,1167.1396927551782,1166.2022917773877,6.984261456717969,1179.4,1179.4,1163.2,1163.2
29,20000714,1165.5,1170.0,1164.5,1167.5,12750,52347,1167.1538224510537,1166.2279889699146,6.954870140743356,1179.4,1179.4,1163.2,1163.2
30,20000717,1168.0,1171.5,1168.0,1169.0,559,52009,1167.2262215706203,1166.282880277441,6.896357860728636,1179.4,1177.1,1163.2,1163.2
31,20000718,1169.0,1171.0,1168.0,1169.3,5059,51348,1167.3075462149097,1166.3426252224422,6.819202259526088,1179.4,1176.4,1163.2,1163.2
32,20000719,1169.0,1169.5,1164.5,1165.3,10245,51363,1167.2288189123642,1166.3219791784334,6.7831784524067595,1179.4,1176.4,1163.2,1163.2
33,20000720,1165.5,1167.5,1163.5,1166.5,6984,51384,1167.200237778546,1166.3255043432168,6.728066007804646,1179.4,1176.4,1163.2,1163.2
34,20000721,1166.0,1168.0,1159.0,1159.5,18818,53843,1166.8982676695832,1166.190345841371,6.773054799729306,1179.4,1176.4,1163.2,1163.2
35,20000724,1160.5,1162.5,1157.5,1161.3,6280,54419,1166.6787277609722,1166.0935073098588,6.737944803695062,1179.4,1175.9,1159.5,1159.5
36,20000725,1161.0,1168.0,1160.5,1165.8,12849,52321,1166.6442678487772,1166.087695283921,6.753035005602091,1179.4,1175.9,1159.5,1159.5
37,20000726,1166.0,1166.5,1160.0,1161.5,8566,53551,1166.4425318547076,1165.9968498327542,6.748024411431753,1179.4,1171.7,1159.5,1159.5
38,20000727,1162.5,1166.5,1161.5,1163.0,6394,53462,1166.3075306055034,1165.9375062717095,6.713410066650926,1179.4,1170.9,1159.5,1159.5
39,20000728,1163.0,1165.0,1162.0,1162.5,3513,54044,1166.1582156797974,1165.8694368405866,6.639877194043978,1179.4,1170.8,1159.5,1159.5
40,20000731,1163.5,1166.5,1161.5,1166.3,6485,53051,1166.163775849217,1165.8779628437433,6.607404378320335,1179.4,1170.8,1159.5,1159.5
41,20000801,1166.0,1167.0,1163.5,1165.3,5117,52353,1166.1299022865026,1165.8665180349562,6.545871618353596,1179.4,1170.8,1159.5,1159.5
42,20000802,1165.5,1166.5,1163.5,1164.8,3075,51948,1166.0777492556592,1165.8453988659471,6.475656338782238,1179.4,1170.8,1159.5,1159.5
43,20000803,1165.5,1165.5,1161.5,1163.0,5983,51899,1165.9570532064176,1165.7890543339481,6.42663344098457,1179.4,1170.8,1159.5,1159.5
44,20000804,1163.0,1163.5,1155.0,1156.8,17529,55252,1165.5979530806758,1165.6110532580283,6.46769020452943,1179.4,1170.8,1159.5,1159.5
45,20000807,1156.8,1160.0,1156.5,1159.5,7289,56466,1165.3588176657472,1165.4900423024237,6.408924061865481,1179.4,1170.8,1156.8,1156.8
46,20000808,1160.5,1162.5,1154.0,1156.0,11432,57442,1164.991805208267,1165.3021206726728,6.450331506184976,1179.4,1170.8,1156.8,1156.8
47,20000809,1157.0,1157.0,1152.0,1154.3,8694,58352,1164.5725187295113,1165.0842568969763,6.421612070418937,1179.4,1169.3,1156.0,1156.0
48,20000810,1154.5,1156.5,1152.5,1155.0,6436,58144,1164.197125838158,1164.8845686415907,6.373659356153215,1179.4,1169.3,1154.3,1154.3
49,20000811,1155.0,1159.0,1155.0,1157.0,5957,55900,1163.9148856092106,1164.72843856948,6.326656200585825,1179.4,1169.3,1154.3,1154.3
50,20000814,1157.5,1158.0,1152.0,1153.3,6762,57423,1163.49861558532,1164.502132855233,6.320187760970264,1179.4,1169.3,1154.3,1154.3
51,20000815,1153.0,1154.0,1150.0,1150.8,8453,57521,1163.0006306604055,1164.230803491763,6.274243448871843,1179.4,1169.3,1153.3,1153.3
52,20000816,1151.5,1154.0,1149.5,1150.0,10669,54699,1162.4908020070563,1163.9490054028172,6.2391099152308165,1179.4,1169.3,1150.8,1150.8
53,20000817,1151.0,1154.0,1150.0,1150.8,6891,54259,1162.0323391832503,1163.688629058207,6.194771105028226,1179.4,1169.3,1150.0,1150.0
54,20000818,1151.5,1151.5,1147.0,1148.0,8683,50832,1161.4820513721425,1163.3779631362622,6.161211281166281,1179.4,1169.3,1150.0,1150.0
55,20000821,1148.5,1149.5,1148.0,1149.3,4321,49358,1161.0043238673525,1163.0991915890095,6.06891006767784,1177.1,1169.3,1148.0,1148.0
56,20000822,1149.0,1149.0,1146.0,1147.3,8200,46699,1160.4668994019662,1162.7863363100191,6.014080165347585,1176.4,1169.3,1148.0,1148.0
57,20000823,1146.5,1148.0,1140.5,1142.3,14165,43073,1159.754471974438,1162.3806662840782,6.043504320489217,1176.4,1166.5,1147.3,1147.3
58,20000824,1142.5,1149.0,1140.0,1148.5,14500,39849,1159.3131201323033,1162.1058016051857,6.1020487893904205,1176.4,1166.5,1142.3,1142.3
59,20000825,1149.0,1155.5,1148.5,1152.0,10704,51533,1159.026331107507,1161.9056867219147,6.1198300014816995,1176.4,1166.3,1142.3,1142.3
60,20000828,1153.0,1156.5,1152.5,1155.8,10917,57874,1158.8998083189774,1161.784782034352,6.087754159868201,1175.9,1166.3,1142.3,1142.3
61,20000829,1156.0,1159.5,1153.5,1157.5,18144,57377,1158.844913875096,1161.6999348653549,6.086016453732197,1175.9,1166.3,1142.3,1142.3
62,20000830,1157.5,1157.5,1152.5,1154.5,19174,61263,1158.6745250956803,1161.5573618977241,6.064511177420668,1171.7,1166.3,1142.3,1142.3
63,20000831,1154.5,1164.5,1154.0,1160.5,21895,60323,1158.7461123468302,1161.5364240383633,6.152342639253922,1170.9,1166.3,1142.3,1142.3
64,20000901,1160.5,1161.5,1158.5,1160.7,5112,59935,1158.8227353920524,1161.5198611861185,6.0899200127340425,1170.8,1166.3,1142.3,1142.3
65,20000905,1160.0,1161.0,1157.0,1160.0,6996,59354,1158.8689026315799,1161.4897649250072,6.048535458026437,1170.8,1166.3,1142.3,1142.3
66,20000906,1160.0,1160.5,1158.0,1158.7,5996,58977,1158.8622789989688,1161.434522055205,5.978267429154627,1170.8,1165.3,1142.3,1142.3
67,20000907,1159.0,1159.0,1151.0,1154.2,12356,59271,1158.679444528421,1161.2912641927257,6.018301737488199,1170.8,1164.8,1142.3,1142.3
68,20000908,1154.0,1155.5,1152.0,1153.2,5126,59062,1158.4645643508359,1161.1310411394045,5.968434376349818,1170.8,1163.0,1142.3,1142.3
69,20000911,1153.0,1153.0,1149.0,1149.7,6263,59622,1158.1208559449208,1160.9046838891193,5.933415873847842,1170.8,1160.7,1142.3,1142.3
70,20000912,1150.0,1154.5,1148.5,1152.2,6442,59357,1157.8886655157082,1160.732313911117,5.934734371395409,1170.8,1160.7,1142.3,1142.3
71,20000913,1151.5,1153.0,1148.5,1150.7,4888,59747,1157.606757064112,1160.5336542297086,5.906323789783619,1170.8,1160.7,1142.3,1142.3
72,20000914,1150.5,1154.0,1150.0,1151.0,4616,59814,1157.3476685517937,1160.3448689974373,5.86857480384731,1169.3,1160.7,1142.3,1142.3
73,20000915,1152.0,1152.0,1146.5,1149.0,4890,60222,1157.020309000743,1160.1202181262008,5.861276292880037,1169.3,1160.7,1142.3,1142.3
74,20000918,1149.0,1152.5,1149.0,1149.8,4363,60256,1156.7371596281648,1159.9158573712266,5.814518346486373,1169.3,1160.7,1142.3,1142.3
75,20000919,1149.5,1152.0,1149.0,1150.5,1964,60160,1156.4925651329427,1159.7294047500143,5.758785309922286,1169.3,1160.7,1142.3,1142.3
76,20000920,1151.0,1152.0,1144.5,1145.3,11781,60855,1156.0536410100822,1159.4436739628852,5.793264808735706,1169.3,1160.7,1142.3,1142.3
77,20000921,1146.0,1150.0,1145.5,1149.5,5769,61332,1155.796635480275,1159.2467695279765,5.77161600064193,1169.3,1160.7,1142.3,1142.3
78,20000922,1149.0,1157.0,1149.0,1153.3,12296,60540,1155.6987282065386,1159.1290117155413,5.815742416470803,1169.3,1160.7,1142.3,1142.3
79,20000925,1153.5,1154.0,1150.5,1153.8,4001,60009,1155.6242682768705,1159.023486731075,5.769886130996134,1169.3,1160.7,1142.3,1142.3
80,20000926,1154.0,1156.0,1153.0,1154.3,4111,59764,1155.5723361875814,1158.9299523403606,5.715036900679379,1169.3,1160.7,1142.3,1142.3
