,date,open,high,low,close,volume,open_volume,fast_lag,slow_lag,atr,last_high1,last_high2,last_low1,last_low2
0,20000601,1445.21,1476.51,1443.21,1474.51,83114,345865,1474.51,1474.51,33.299999999999955,,,,
1,20000602,1473.31,1512.01,1470.61,1499.01,86012,341147,1475.4707843137255,1474.9951485148515,33.460396039603914,,,,
2,20000605,1499.51,1503.51,1491.01,1493.51,84640,325466,1476.1782045367167,1475.3617792373298,33.04533869228502,1499.01,1499.01,1474.51,1474.51
3,20000606,1495.01,1499.91,1480.51,1486.01,87911,305578,1476.56376514312,1475.5726350940163,32.77513396570512,1499.01,1499.01,1474.51,1474.51
4,20000607,1486.71,1500.51,1480.51,1495.01,105193,285257,1477.2871469022134,1475.9575334089864,32.52216101588918,1499.01,1499.01,1474.51,1474.51
5,20000608,1495.61,1500.91,1481.01,1489.61,78921,234503,1477.770396043303,1476.2278792820757,32.272217233396326,1499.01,1499.01,1474.51,1474.51
6,20000609,1496.01,1497.51,1478.51,1485.11,62902,200981,1478.0582236494479,1476.4037628606484,32.0094010505568,1499.01,1499.01,1474.51,1474.51
7,20000612,1487.01,1488.51,1468.51,1469.71,73460,164891,1477.7308423298616,1476.2712131010317,31.771591128763593,1499.01,1499.01,1474.51,1474.51
8,20000613,1468.91,1496.41,1466.21,1494.91,134038,313811,1478.4045347875142,1476.6402979901202,31.740470512352434,1499.01,1499.01,1469.71,1469.71
9,20000614,1494.91,1507.41,1490.61,1498.41,109610,344985,1479.1890628350627,1477.0713811982366,31.444619611117737,1499.01,1499.01,1469.71,1469.71
10,20000615,1497.61,1506.41,1486.91,1497.91,92566,363108,1479.9232172336876,1477.4840271151031,31.208092490105503,1499.01,1499.01,1469.71,1469.71
11,20000616,1498.61,1504.61,1481.41,1488.41,54038,365955,1480.2560322441313,1477.700383013814,31.04951640119252,1499.01,1499.01,1469.71,1469.71
12,20000619,1487.21,1512.81,1483.41,1504.91,53379,369559,1481.2228545090675,1478.23918731057,31.016852710079792,1499.01,1499.01,1469.71,1469.71
13,20000620,1506.31,1509.41,1490.91,1499.41,55784,365421,1481.9360759008687,1478.6584113242222,30.76899424057326,1504.91,1504.91,1469.71,1469.71
14,20000621,1497.91,1503.91,1488.91,1499.01,48492,366898,1482.605641551815,1479.0614130801782,30.45673692887874,1504.91,1504.91,1469.71,1469.71
15,20000622,1498.41,1500.41,1468.91,1476.71,60287,368401,1482.3744399223322,1479.014850444927,30.47739560355441,1504.91,1504.91,1469.71,1469.71
16,20000623,1475.91,1480.31,1457.91,1463.91,48462,368213,1481.6503442391036,1478.7157444955226,30.31744717576125,1504.91,1504.91,1469.71,1469.71
