,date,open,high,low,close,volume,open_volume,fast_lag,slow_lag,atr,last_high2,last_low2,last_high1,last_low1
0,20000601,1.3394,1.3416,1.3288,1.3336,8112,52331,1.3336,1.3336,0.012799999999999923,,,,
1,20000602,1.3338,1.3532,1.3336,1.3452,16301,49477,1.3340549019607841,1.333829702970297,0.01293465346534646,,,,
2,20000605,1.3488,1.3596,1.3468,1.359,8756,49545,1.3350331410995768,1.3343281246936576,0.012963670228408906,,,,
3,20000606,1.358,1.371,1.3512,1.3688,9502,47303,1.3363573316446915,1.3350107360858623,0.013099043095173088,,,,
4,20000607,1.3686,1.3686,1.3582,1.3614,9923,46557,1.33733939707039,1.3355332957673303,0.01304955709328847,,,,
5,20000608,1.3618,1.3622,1.3452,1.3512,14574,46395,1.337882950126453,1.335843527534314,0.013127783685500582,,,,
6,20000609,1.35,1.3522,1.34,1.3486,8013,42121,1.3383032265920825,1.336096130949476,0.013109411731332253,,,,
7,20000612,1.3468,1.354,1.343,1.3516,7983,40295,1.3388246686865106,1.3364031382574073,0.013067641201998943,,,,
8,20000613,1.351,1.3572,1.3466,1.3484,5298,33254,1.3392001718752748,1.3366406998760725,0.01301877701978114,,,,
9,20000614,1.3462,1.3512,1.3382,1.3396,6037,29230,1.3392158514095778,1.3366992998785265,0.013018405197607255,,,,
10,20000615,1.3384,1.3522,1.335,1.3518,4461,27319,1.3397093474327315,1.3369983236433083,0.013101209055080382,,,,
11,20000616,1.3522,1.358,1.3504,1.3542,964,26392,1.3402776083177224,1.3373389508978963,0.012992274222306513,,,,
12,20000619,1.3532,1.3552,1.3496,1.352,3854,25896,1.3407373099523214,1.3376292687018985,0.01284589255453807,,,,
13,20000620,1.351,1.359,1.3434,1.3576,8976,25686,1.3413985919149756,1.3380247287276035,0.012900429335636326,,,,
14,20000621,1.3574,1.3574,1.3332,1.3376,9561,28204,1.341249627526153,1.33801631825775,0.013128143606217784,,,,
15,20000622,1.3378,1.3546,1.3356,1.353,9046,26322,1.341710426446696,1.3383130248269035,0.013244417990253079,,,,
16,20000623,1.3528,1.353,1.338,1.3422,8441,27679,1.3417296254095705,1.3383899946323115,0.013279181990446086,,,,
