,date,open,high,low,close,volume,open_volume,fast_lag,slow_lag,atr,last_high2,last_low2,last_high1,last_low1
0,20000601,604.5,605.0,600.25,601.0,38243,203848,601.0,601.0,4.75,,,,
1,20000602,601.0,605.0,599.5,604.5,34130,200211,601.1372549019608,601.0693069306931,4.764851485148514,,,,
2,20000605,606.5,608.25,598.75,599.75,38579,197023,601.0828527489427,601.0431820409764,4.858616802274287,,,,
3,20000606,600.25,601.5,598.25,601.25,27035,194739,601.0894075431019,601.0472774461056,4.826763004209449,,,,
4,20000607,603.5,603.5,594.5,595.25,56369,191935,600.8604111688626,600.9324798729153,4.909401360561738,,,,
5,20000608,595.5,596.25,592.75,594.5,44491,187047,600.6109832798876,600.8051040338477,4.881492422728832,,,,
6,20000609,594.5,596.5,593.5,594.75,32277,182202,600.3811407983234,600.6852009836724,4.844235147031231,,,,
7,20000612,591.5,591.5,583.5,583.75,69730,176751,599.7289391983891,600.3498504691443,4.97108197580289,,,,
8,20000613,584.25,585.5,583.0,583.25,35631,169794,599.0827062886483,600.0112395687652,4.9221496594503575,,,,
9,20000614,582.75,583.0,575.75,578.75,62161,162871,598.2853452577209,599.5902249238392,4.97319620084738,,,,
10,20000615,578.75,582.75,578.75,581.25,36780,154450,597.6172925025162,599.2270521530701,4.953924988949412,,,,
11,20000616,581.75,585.25,581.75,582.75,28619,150117,597.0342614239861,598.9007738926132,4.935035385207839,,,,
12,20000619,584.25,584.25,579.25,581.0,16513,160888,596.4054668583395,598.5463031224624,4.936321813223525,,,,
13,20000620,580.75,581.5,576.5,578.25,24721,161915,595.6934877658556,598.1443961299384,4.937582767417119,,,,
14,20000621,578.25,581.25,576.75,579.5,17771,163353,595.0584490299397,597.7752001669693,4.92891776212173,,,,
15,20000622,578.5,582.0,578.5,579.0,19241,165560,594.4287059307263,597.4034140250491,4.900622360891597,,,,
16,20000623,578.5,579.0,574.75,575.0,24257,169190,593.6667958942272,596.959782064157,4.887738749784832,,,,
17,20000626,572.25,573.0,569.25,570.5,42106,173647,592.7582940944536,596.4358259836787,4.904813229987113,,,,
18,20000627,569.75,574.0,569.75,573.0,28066,175418,591.983459031926,595.9717502216256,4.8918466313735065,,,,
19,20000628,572.75,573.5,568.5,568.75,33636,176489,591.0723429914583,595.4327056627815,4.893988282237397,,,,
20,20000629,568.75,572.75,568.75,571.75,36707,174031,590.3146040506168,594.9637411942116,4.87628554397527,,,,
21,20000630,571.5,572.25,560.75,563.25,46262,174321,589.253247029024,594.3357463190787,5.0074482064708095,,,,
22,20000703,563.25,564.25,555.0,558.5,44973,174259,588.0472373416113,593.626127580087,5.091459133075348,,,,
23,20000705,559.75,560.5,556.75,559.75,27536,173877,586.9375417595874,592.9553131725605,5.064895585885737,,,,
24,20000706,559.5,559.5,555.0,555.75,35094,174452,585.7145009062702,592.2185742978563,5.058660029729584,,,,
25,20000707,555.75,562.0,555.75,558.25,29925,174698,584.6374616550439,591.5459292622552,5.082250920229988,604.5,555.75,,
26,20000710,556.75,556.75,551.75,554.5,35841,175971,583.4556004136697,590.8123465045868,5.110325159433355,604.5,555.75,,
27,20000711,554.75,555.5,552.25,552.5,23994,175191,582.2416552994081,590.0536861777633,5.0734870374643775,601.25,554.5,,
28,20000712,552.5,553.75,548.5,553.25,49001,179443,581.1047276406077,589.3249003128572,5.076982343653202,601.25,552.5,,
29,20000713,553.75,555.5,552.0,553.5,28446,179589,580.0221893017604,588.6154963462659,5.045754970511554,595.25,552.5,,
30,20000714,553.25,553.75,548.75,550.0,26534,179905,578.8448485448286,587.8508330522804,5.044848931491524,594.75,552.5,,
31,20000717,549.25,549.25,545.75,547.0,32489,178895,577.5960309548353,587.0419056651066,5.029109348689712,594.75,550.0,,
