,date,open,high,low,close,volume,open_volume,fast_lag,slow_lag,atr,last_high2,last_low2,last_high1,last_low1
0,20000601,1.09205,1.09325,1.08335,1.08775,7745,62408,1.08775,1.08775,0.00990000000000002,,,,
1,20000602,1.08715,1.10535,1.08475,1.09705,16768,63367,1.088114705882353,1.0879341584158415,0.010111881188118831,,,,
2,20000605,1.10025,1.10385,1.09615,1.10335,10994,61204,1.0887121683967707,1.088239422605627,0.010064121164591726,,,,
3,20000606,1.10335,1.11485,1.09925,1.10965,21065,59132,1.0895332598321914,1.0886633944352184,0.010173742527669115,,,,
4,20000607,1.10955,1.11755,1.10815,1.11595,13509,55523,1.0905692104270075,1.0892037232582834,0.010158420893457847,,,,
5,20000608,1.11655,1.12365,1.10585,1.11125,28402,48584,1.091380221782811,1.089640283193763,0.010309739291607197,,,,
6,20000609,1.11075,1.11125,1.10055,1.10825,13045,44317,1.092041781712897,1.0900087924374509,0.010317467226426858,,,,
7,20000612,1.10835,1.11025,1.10355,1.10785,8197,40242,1.092661711841803,1.0903620836763133,0.010245834212042167,,,,
8,20000613,1.10755,1.11715,1.10635,1.11495,14812,32925,1.0935357623578106,1.0908489731084654,0.010256807792001731,,,,
9,20000614,1.11355,1.11935,1.11185,1.11475,14451,25067,1.0943676932457396,1.091322260769684,0.010202217538694767,,,,
10,20000615,1.11385,1.11435,1.10435,1.10765,12551,49369,1.0948885680204163,1.091645582338601,0.010206134023077048,,,,
11,20000616,1.10775,1.11985,1.10405,1.11955,15562,54021,1.095855683000008,1.0921981450645695,0.010316903646382453,,,,
12,20000619,1.11835,1.12295,1.11165,1.11315,12688,52683,1.0965338915098115,1.0926130332811126,0.01033637090090953,,,,
13,20000620,1.11435,1.11575,1.10685,1.11185,8398,53664,1.0971345232153091,1.09299396331515,0.010307927912772711,,,,
14,20000621,1.11155,1.11205,1.09685,1.09875,15635,52470,1.0971978752460814,1.0931079442396026,0.010404800627371268,,,,
15,20000622,1.09915,1.10095,1.08805,1.09145,16291,54863,1.0969724683736861,1.0930751136606005,0.010454210515938176,,,,
16,20000623,1.09125,1.09655,1.08745,1.08965,9433,54954,1.0966853127511886,1.0930072896277174,0.010427394466117616,,,,
17,20000626,1.08935,1.09295,1.08285,1.09155,12230,52825,1.0964839279374166,1.0929784324073666,0.010420911407382613,,,,
18,20000627,1.09025,1.10015,1.08995,1.09995,10707,51408,1.0966198523320276,1.0931164832507851,0.010416536924068106,,,,
19,20000628,1.09975,1.09995,1.09325,1.09645,8615,51700,1.0966131914562618,1.0931824934834429,0.010342942133492497,,,,
20,20000629,1.09495,1.10685,1.09315,1.10525,12451,52613,1.096951889830526,1.0934214540085232,0.010409418526888682,,,,
21,20000630,1.10495,1.11325,1.10365,1.10665,13877,52096,1.0973322078763876,1.093683405414295,0.010393390437247322,,,,
22,20000703,1.10585,1.10755,1.10085,1.10375,5935,52156,1.0975838859988822,1.0938827439209426,0.010320253992945394,,,,
23,20000705,1.10485,1.11015,1.10255,1.10645,15127,53876,1.097931576744024,1.0941316004769637,0.010266387577243507,,,,
