,date,open,high,low,close,volume,open_volume,fast_lag,slow_lag,atr,last_high2,last_low2,last_high1,last_low1
0,20000601,135.85,136.05,134.9,135.6,6949,35131,135.6,135.6,1.1500000000000057,,,,
1,20000602,135.45,136.8,133.45,133.75,14514,33598,135.52745098039216,135.56336633663366,1.1935643564356495,,,,
2,20000605,133.85,135.0,133.75,134.65,8168,31768,135.49304113802384,135.5452798745221,1.1946818939319732,,,,
3,20000606,134.65,135.6,134.65,134.9,4387,31649,135.46978462280723,135.53250205522463,1.1898367079135181,,,,
4,20000607,134.9,135.2,132.9,133.9,10954,32164,135.40822444152067,135.50017528185384,1.2118201394399828,,,,
5,20000608,133.9,134.35,133.15,134.2,3939,31710,135.3608430908728,135.4744292366686,1.2115860772728542,,,,
6,20000609,134.2,134.6,133.65,134.25,3597,31648,135.31728061672092,135.45018311317023,1.2064061549506193,,,,
7,20000612,133.95,134.55,133.15,133.9,3599,31402,135.26170098469265,135.41948641785993,1.2102396964367457,,,,
8,20000613,134.05,135.05,133.45,134.6,5409,31492,135.23575192646942,135.40325896404093,1.2179577222498799,,,,
9,20000614,134.6,135.45,134.6,135.35,5601,30675,135.24023224307845,135.40220433108962,1.2106714307201791,,,,
10,20000615,135.3,136.35,134.35,136.25,10670,29398,135.27983097864401,135.41899236413735,1.2263016994187894,,,,
11,20000616,136.25,137.15,135.8,136.85,10626,26453,135.34140623438347,135.44732914900592,1.2287511707174272,,,,
12,20000619,136.35,137.55,136.05,137.25,5365,25743,135.4162530487214,135.48302560150086,1.2341224346636168,,,,
13,20000620,137.25,137.25,135.45,135.75,7415,24873,135.4293411644578,135.4883122232533,1.2453279310069119,,,,
14,20000621,135.8,137.15,135.55,136.9,5639,23965,135.48701405996925,135.51626643665423,1.2523511402939036,,,,
15,20000622,136.55,137.35,136.05,136.2,5565,21783,135.51497429291163,135.52980571513632,1.2532946820702615,,,,
16,20000623,136.45,136.45,134.85,135.5,7249,20441,135.51438706573862,135.5292155029554,1.2601601339104542,,,,
17,20000626,135.45,137.0,135.45,136.75,6317,18325,135.56284247492533,135.55338945339193,1.2658995371993564,,,,
18,20000627,136.75,137.65,136.05,136.2,7722,14212,135.5878290445361,135.5661936226317,1.2725153879478839,,,,
19,20000628,136.2,136.95,136.0,136.3,8605,26734,135.6157573172994,135.58072444198552,1.266128944622183,,,,
20,20000629,136.5,136.5,134.9,135.3,11470,31864,135.6033746774053,135.57516554214422,1.2727402526494664,,,,
21,20000630,135.35,136.15,135.35,135.85,3820,32443,135.6130462586835,135.58060780863642,1.2643691585375958,,,,
22,20000705,135.85,136.05,135.25,135.7,5089,32787,135.61645620932336,135.5829720104456,1.2551737296556635,,,,
23,20000706,135.6,135.75,134.25,134.6,10311,34967,135.57659518150675,135.56350721815954,1.2600217746129772,,,,
24,20000707,134.6,134.9,134.25,134.8,3473,34243,135.54614046850648,135.5483882633445,1.2479421355117302,,,,
25,20000710,134.6,135.8,134.4,135.55,5081,34046,135.5462918226827,135.54842017892182,1.2509531823332802,137.25,133.75,,
26,20000711,135.55,136.35,135.55,136.05,5048,33622,135.56604508453827,135.55835245260653,1.2420234163464823,137.25,133.75,,
27,20000712,135.85,137.05,135.55,136.65,8770,33640,135.60855312043873,135.57996923572324,1.2471318635475421,137.25,133.9,,
28,20000713,136.65,137.05,136.25,136.4,6509,33063,135.63959025297055,135.5962074686792,1.2382777672396703,137.25,133.9,,
29,20000714,136.4,136.7,135.7,136.35,4629,33295,135.6674494587364,135.61113405345785,1.233559395611162,137.25,133.9,,
30,20000717,136.65,138.45,136.4,138.05,16963,34955,135.76088281329575,135.6594284286369,1.2507166353020298,137.25,133.9,,
31,20000718,138.0,138.65,137.9,138.15,9992,36654,135.8545736833626,135.70874667757477,1.24080145440496,138.05,133.9,,
32,20000719,138.1,138.75,137.8,138.15,7286,39346,135.94459040166208,135.75708832752377,1.2350430097632774,138.15,133.9,,
33,20000720,138.15,138.4,137.7,138.25,7060,40828,136.03499862120475,135.80645291509757,1.2244480986788564,138.15,134.6,,
34,20000721,138.25,140.25,138.15,140.15,11754,43664,136.19637122429475,135.89246374846198,1.2417857600911562,138.25,134.6,,
35,20000724,139.6,140.7,139.6,140.3,6090,44085,136.35729784294986,135.979741694037,1.2389781212774698,140.15,134.6,,
36,20000725,140.25,140.55,139.85,140.45,5899,44114,136.51779596675576,136.06826166049171,1.2283052871927678,140.3,134.6,,
37,20000726,140.35,140.45,139.2,139.55,9753,46188,136.63670592884375,136.13720697414536,1.2287348854661784,140.45,134.6,,
38,20000727,139.25,140.85,139.2,140.6,8554,48810,136.79212922575184,136.22557911327118,1.2370767689222937,140.45,134.6,,
39,20000728,140.45,141.0,139.9,140.3,4599,47458,136.92969278552627,136.30626071498858,1.2343623774584858,140.6,134.6,,
40,20000731,140.2,140.95,139.5,140.9,8157,46447,137.0853911076625,136.39722584934523,1.2386324293900006,140.6,134.6,,
41,20000801,140.85,141.25,139.9,140.8,8543,48494,137.23106204461692,136.48440949589286,1.2408377278179212,140.9,134.6,,
42,20000802,140.7,141.65,140.35,140.45,6629,48968,137.35729490561232,136.56293604052865,1.242009257960141,140.9,134.6,,
43,20000803,140.45,140.65,139.95,140.35,5138,49717,137.47465588970596,136.63792740606274,1.231276401366871,140.9,134.6,,
44,20000804,140.25,140.8,139.65,140.75,6028,48822,137.6031007567763,136.7193545861407,1.2296669676764382,140.9,134.6,,
45,20000807,140.75,140.75,140.15,140.55,4693,48005,137.71866543298117,136.79520895077158,1.217198314851162,140.9,134.6,,
46,20000808,140.4,140.75,139.25,139.6,9973,46662,137.79244325913876,136.85074936758798,1.2227983482204459,140.9,134.6,,
47,20000809,139.6,141.15,139.45,140.8,7546,47094,137.91038666074115,136.92895235040803,1.2322478858794472,140.9,134.6,,
48,20000810,140.6,140.95,139.45,139.9,7462,44976,137.98841071326112,136.9877849771326,1.2375499079412404,140.9,134.6,,
49,20000811,139.95,140.3,139.05,139.4,7608,42462,138.04376715587833,137.0355516112488,1.2377964444176515,140.9,134.8,,
50,20000814,139.35,140.25,139.15,140.15,3983,41976,138.12636452231447,137.0972238565706,1.2350678019539354,140.9,135.55,140.9,133.75
51,20000815,140.15,141.0,140.15,140.5,5074,41454,138.21944826653743,137.16460556238107,1.2274426969647485,140.9,136.05,140.9,133.75
52,20000816,140.5,140.65,139.8,140.1,3061,40858,138.2931953933399,137.22273218490818,1.2199685841535652,140.9,136.35,140.9,133.9
53,20000817,140.25,140.55,139.8,140.35,3948,39883,138.37385439752265,137.28465828025654,1.2106622755564649,140.9,136.35,140.9,133.9
54,20000818,140.35,140.7,139.85,139.95,4434,38740,138.43566402899233,137.33743732421186,1.2035204483177229,140.9,136.35,140.9,133.9
55,20000821,139.95,139.95,138.65,138.85,13951,34150,138.45191249844362,137.3673890603661,1.2054309344896488,140.9,138.05,140.9,133.9
56,20000822,138.85,139.35,138.65,139.2,7845,32816,138.48124926321054,137.4036783859034,1.1954224011334178,140.9,138.15,140.9,133.9
57,20000823,139.3,140.05,138.8,139.1,15074,26778,138.5055139979866,137.43726891291521,1.1965031456654294,140.9,138.15,140.9,133.9
58,20000824,139.1,139.95,138.95,139.65,8562,23337,138.55039580198715,137.48108537008522,1.192611994266114,140.9,138.25,140.9,134.6
59,20000825,139.7,139.75,138.8,139.7,9850,33956,138.5954783195563,137.5250242736479,1.1878077963598541,140.9,138.85,140.9,134.6
60,20000828,139.3,139.9,139.3,139.45,5174,36273,138.62898897369135,137.56314260486278,1.1761680380160946,140.9,138.85,140.9,134.6
61,20000829,139.5,141.3,139.4,141.25,18669,42523,138.7317737198211,137.6361496819942,1.1905013441939938,140.9,138.85,140.9,134.6
62,20000830,141.15,142.1,141.0,142.0,12567,47510,138.8599394562987,137.72256255957848,1.18870923836837,141.25,138.85,141.25,134.6
63,20000831,142.0,142.4,141.2,141.8,7797,49028,138.97523594820854,137.80330389503237,1.1889328178066203,142.0,138.85,142.0,134.6
64,20000901,141.7,142.25,141.6,142.05,4196,50231,139.09581493063172,137.88739688720995,1.1782608808203507,142.0,138.85,142.0,134.6
65,20000905,142.4,143.7,142.35,143.55,7883,50999,139.27048885492067,137.99952764191866,1.187602249516977,142.05,138.85,142.05,134.6
66,20000906,143.55,143.55,142.8,143.1,6247,51848,139.42066576257085,138.10052709455394,1.178936858437433,143.55,138.85,143.55,134.6
67,20000907,143.1,143.8,142.7,143.5,5289,52232,139.58063965423474,138.20744735010732,1.1773737523297614,143.55,138.85,143.55,134.6
68,20000908,143.4,145.0,143.3,144.1,7866,53585,139.75786947171574,138.32413156099628,1.1877227869370925,143.55,138.85,143.55,134.6
69,20000911,144.2,144.5,143.6,144.35,5047,53515,139.93795302184452,138.4434556885013,1.1820253060076453,144.1,138.85,144.1,134.6
70,20000912,144.05,145.9,144.0,145.9,8210,54768,140.17175878569375,138.59111003130326,1.1962426266807613,144.35,138.85,144.35,134.6
71,20000913,145.7,146.7,145.6,145.85,5051,54542,140.39443491174498,138.734850426723,1.1943368320930234,145.9,138.85,145.9,134.6
72,20000914,145.85,146.7,145.45,145.8,5148,54197,140.60641785638242,138.87475437866908,1.1954390730416764,145.9,138.85,145.9,134.6
73,20000915,145.8,145.8,144.6,145.25,6242,54888,140.78851911691643,139.0009968662202,1.19552938842699,145.9,138.85,145.9,134.6
74,20000918,145.3,145.65,144.6,145.05,4799,55892,140.95563601429225,139.12077910649305,1.192647618359129,145.9,138.85,145.9,134.8
75,20000919,145.05,145.4,144.15,145.35,6386,57416,141.12796401373177,139.24413001527537,1.1937833090846908,145.9,138.85,145.9,135.55
76,20000920,145.1,145.35,143.0,143.35,11847,55708,141.21510267985994,139.32543437140853,1.2166786891028156,145.9,138.85,145.9,136.05
77,20000921,143.3,145.7,142.9,145.7,8104,55306,141.39098100613995,139.4516633937569,1.248031586348304,145.9,138.85,145.9,136.35
78,20000922,145.35,145.85,144.85,145.1,6035,55311,141.53643273138937,139.56351164338545,1.2431200697869516,145.9,138.85,145.9,136.35
79,20000925,145.65,145.95,145.1,145.8,3993,55949,141.70363144780546,139.68700646232833,1.235335513949586,145.9,138.85,145.9,136.35
80,20000926,145.65,145.85,144.1,144.65,8833,54770,141.8191753125974,139.7852835620842,1.2455268899109804,145.9,138.85,145.9,138.05
81,20000927,144.7,144.8,143.6,144.45,6554,53625,141.9223449081818,139.8776541846172,1.244625367338486,145.9,139.1,145.9,138.15
82,20000928,143.8,144.4,143.6,144.2,7242,54415,142.0116647157041,139.9632451908624,1.236811003628813,145.9,139.1,145.9,138.15
83,20000929,144.55,145.0,144.2,144.35,5153,54547,142.10336413861765,140.05011162272652,1.2281612807846782,145.9,139.45,145.9,138.25
84,20001002,144.0,144.3,142.15,142.2,20028,48097,142.10715378024048,140.09268366980123,1.2474056118582488,145.9,139.45,145.9,138.85
85,20001003,142.4,142.6,141.2,142.55,12052,46234,142.12452029866242,140.1413433991121,1.250427282910561,145.9,139.45,145.9,138.85
86,20001004,142.45,142.45,141.6,142.2,5835,46170,142.12748028695017,140.1821088763574,1.2444782278034214,145.9,141.25,145.9,138.85
87,20001005,142.25,143.9,141.75,143.4,8102,45717,142.17738302079528,140.24582949266716,1.2624093520053339,145.9,141.8,145.9,138.85
88,20001006,143.55,143.55,142.5,142.9,3838,44778,142.2057209415484,140.29838732449554,1.2582032262230503,145.9,141.8,145.9,138.85
