,date,open,high,low,close,volume,open_volume,fast_lag,slow_lag,atr,last_high2,last_low2,last_high1,last_low1
0,20000601,17.695,17.73,17.66,17.66,352,4121,17.66,17.66,0.07000000000000028,,,,
1,20000602,17.655,17.72,17.6,17.615,412,4114,17.65823529411765,17.65910891089109,0.07099009900990122,,,,
2,20000605,17.64,17.7,17.63,17.665,364,4090,17.65850057670127,17.659225566120966,0.07126752279188339,,,,
3,20000606,17.897000000000002,17.965,17.72,17.72,1454,4259,17.660912318791418,17.660429020257183,0.07579687877620254,,,,
4,20000607,17.76,17.79,17.68,17.7,256,4247,17.662445169034893,17.661212604014466,0.07647416830538664,,,,
5,20000608,17.7,17.74,17.68,17.69,247,4191,17.663525750641366,17.661782651459724,0.0761479471508245,,,,
6,20000609,17.695,17.74,17.54,17.585,1011,3713,17.660446309439745,17.660262202915966,0.07860046304882796,,,,
7,20000612,17.56,17.57,17.51,17.55,275,3664,17.65611508161858,17.658078792957234,0.07852916675083135,,,,
8,20000613,17.55,17.56,17.46,17.48,362,3613,17.649208607829618,17.65455248022541,0.07895433176566634,,,,
9,20000614,17.44,17.52,17.44,17.475,391,3530,17.642376897718652,17.65099698556748,0.07897503806733627,,,,
10,20000615,17.4,17.53,17.4,17.505,173,3409,17.636989568396352,17.648105956150303,0.07998543335313164,,,,
11,20000616,17.515,17.52,17.45,17.47,275,3313,17.630440957871006,17.644579105533467,0.07978770199960429,,,,
12,20000619,17.47,17.49,17.23,17.27,985,3122,17.616306018346652,17.6371616975031,0.08335626235604773,,,,
13,20000620,17.26,17.27,17.11,17.135,590,2612,17.597431272529136,17.62721790151294,0.0848739601311755,,,,
14,20000621,17.155,17.28,17.15,17.19,551,2404,17.58145357556721,17.61856012128496,0.0860645747820433,,,,
15,20000622,17.205,17.22,17.17,17.17,496,2316,17.56531814123124,17.609677742645655,0.08535042478635921,,,,
16,20000623,17.17,17.23,17.13,17.185,313,2034,17.550403704320214,17.601268282395246,0.08564051538464915,,,,
