date,open,high,low,close,volume,open_volume,fast_lag,slow_lag,atr
19820421,116.35,117.6,116.05,117.45,7926,1032,117.45,117.45,1.5499999999999972
19820422,117.0,118.4,117.0,117.9,5966,1746,117.50625000000001,117.45596026490067,1.5357142857142836
19820423,118.35,119.75,118.25,119.65,6128,2268,117.77421875,117.48502039384238,1.565646258503399
19820426,119.3,120.6,118.65,120.55,6098,2608,118.12119140625,117.52561615021533,1.6022513767411695
19820427,120.2,120.35,118.4,118.85,7956,2802,118.21229248046876,117.5431576581595,1.6544179122896288
19820428,118.55,119.3,117.7,118.15,8302,3194,118.20450592041017,117.55119530507129,1.6492352539763302
19820429,117.5,118.15,117.25,117.6,7024,2984,118.1289426803589,117.55184172487166,1.5778795155023946
19820430,117.55,118.4,117.4,117.5,5688,3226,118.05032484531404,117.55115507950913,1.5228433711688332
19820503,117.1,117.5,116.8,117.15,5762,3974,117.93778423964979,117.54584176719776,1.4444773358194207
19820504,117.25,118.05,117.25,117.8,5400,4026,117.92056120969356,117.54920810140706,1.3926223514556655
19820505,117.85,118.3,117.05,117.55,5492,4340,117.87424105848186,117.54921859013015,1.3790392703646497
19820506,118.05,119.2,118.05,119.1,10342,5618,118.02746092617163,117.56975874125426,1.4048450541394455
19820507,119.15,120.1,119.0,119.65,8018,5792,118.23027831040018,117.59731160560851,1.3758121918404502
19820510,119.2,119.4,118.45,118.5,8436,6928,118.26399352160016,117.60926774328257,1.3590681735699315
19820511,118.45,119.95,118.35,119.7,9430,8106,118.44349433140013,117.63695956125234,1.3820140618013674
19820512,119.85,120.35,119.05,119.55,10370,7718,118.58180753997512,117.66229784520927,1.3742031987726655
19820513,119.55,119.75,118.15,118.35,10034,8348,118.55283159747823,117.67140648302106,1.395707656032411
19820514,118.55,118.75,118.1,118.3,7874,7990,118.52122764779345,117.6797322249678,1.3246878792674202
19820517,118.15,118.15,116.5,116.6,8592,8556,118.28107419181927,117.66543113589537,1.3699557002895704
19820518,116.6,116.7,115.75,116.0,13354,10032,117.99593991784187,117.64337244535372,1.3299599193096117
19820519,115.95,116.35,114.45,114.65,14338,10758,117.57769742811163,117.60372512819671,1.3842494508039336
19820520,114.85,115.2,114.15,114.95,16806,13494,117.24923524959767,117.56857645100206,1.3524161697749872
19820521,115.25,115.6,114.75,114.9,10342,13290,116.95558084339797,117.53323106754507,1.3045670107487974
19820524,114.8,115.15,114.15,115.0,11046,13788,116.71113323797323,117.49967833817361,1.2755606287727215
19820525,115.2,115.65,113.45,113.75,28272,14976,116.34099158322658,117.45001372442296,1.3636024736515102
19820526,114.0,114.1,112.0,112.5,25680,15762,115.86086763532326,117.38445062873524,1.433735571398985
