,date,price,note,instru,left_equity,unit
0,20000815,1499.96,Entry,0,500040.0,1000
1,20000922,1424.01,Exit,0,1924050.0,0
2,20010918,614.8,Entry,1,-688850.0,4250
3,20011119,596.9000000000001,Exit,1,1847975.0000000005,0
4,20020114,609.7,Entry,1,-1810225.0,6000
5,20030606,928.26,Entry,0,-3202615.0,1500
6,20050601,711.9,Exit,1,1068785.0,0
7,20050610,722.4000000000001,Entry,1,-3988015.000000001,7000
8,20050727,716.9000000000001,Exit,1,1030285.0,0
9,20050729,723.45,Entry,1,-4214727.5,7250
10,20060620,1135.21,Exit,0,-2511912.5,0
11,20060710,1165.36,Entry,0,-5716652.5,2750
12,20060714,1128.56,Exit,0,-2613112.5,0
13,20060804,1179.6100000000001,Entry,0,-5857040.0,2750
14,20071123,1241.6100000000001,Exit,0,-2442612.4999999995,0
15,20071211,1345.96,Entry,0,-5134532.5,2000
16,20071218,1264.76,Exit,0,-2605012.5,0
17,20080821,1002.3,Exit,1,4661662.5,0
18,20081002,1063.6,Entry,1,3598062.5,1000
19,20081006,1016.9000000000001,Exit,1,4614962.5,0
20,20081008,1092.6,Entry,1,3522362.5,1000
21,20081017,974.5,Exit,1,4496862.5,0
22,20090105,1065.8000000000002,Entry,1,2631712.5,1750
23,20090116,999.2,Exit,1,4380312.5,0
24,20090122,1036.5500000000002,Entry,1,2825487.5,1500
25,20090826,845.76,Entry,0,922527.5,2250
26,20100702,852.1099999999999,Exit,0,2839775.0,0
27,20100726,941.81,Entry,0,956155.0,2000
28,20100831,876.66,Exit,0,2709475.0,0
29,20100907,940.66,Entry,0,592990.0,2250
30,20110817,1042.46,Exit,0,2938525.0,0
31,20111028,1145.51,Entry,0,933882.5,1750
32,20111130,1050.71,Exit,0,2772625.0,0
33,20111201,1109.46,Entry,0,831070.0,1750
34,20120517,1685.1999999999998,Exit,1,3358869.9999999995,0
35,20120822,1789.0,Entry,1,-2008130.0000000005,3000
36,20130215,1750.85,Exit,1,3244419.9999999995,0
37,20150904,1891.81,Exit,0,6555087.5,0
38,20151021,2000.51,Entry,0,1553812.5,2500
39,20160114,1862.31,Exit,0,6209587.5,0
40,20160217,1332.45,Entry,1,2878462.5,2500
41,20160318,2034.48,Entry,0,-2207737.5,2500
42,20161118,1320.5500000000002,Exit,1,1093637.5000000005,0
43,20170404,1363.3000000000002,Entry,1,-6404512.5,5500
44,20170515,1331.25,Exit,1,917362.5,0
45,20170522,1363.75,Entry,1,-5901387.5,5000
46,20170706,1324.4499999999998,Exit,1,720862.4999999991,0
47,20170802,1371.3000000000002,Entry,1,-7164112.500000002,5750
48,20171212,1330.8,Exit,1,487987.49999999814,0
49,20180102,1402.55,Entry,1,-8979225.000000002,6750
50,20180524,1371.3,Exit,1,277049.99999999814,0
51,20181211,2632.3999999999996,Exit,0,6858049.999999997,0
52,20190110,1354.35,Entry,1,-590875.0000000019,5500
53,20190215,2762.1499999999996,Entry,0,-6805712.500000001,2250
54,20190424,1317.95,Exit,1,443012.49999999907,0
55,20190605,1379.4499999999998,Entry,1,-7143962.5,5500
56,20191231,1543.3,Exit,1,1344187.5,0
57,20200313,2537.8,Exit,0,7054237.5,0
58,20200604,3110.5,Exit,0,7054237.5,0
59,20200604,3120.05,Entry,0,3934187.5,1000
