,date,price,note,instru,left_equity,unit
0,20000822,110.065,Entry,3,1312093.75,6250
1,20001024,105.97,Exit,3,1974406.25,0
2,20001025,139.7625,Entry,10,-17209.374999999767,14250
3,20001107,108.83000000000001,Entry,3,-860641.8749999999,7750
4,20001218,24.25,Entry,8,-884891.8749999999,1000
5,20001222,104.855,Exit,3,-72265.62499999988,0
6,20010105,1.75,Exit,8,-70515.62499999988,0
7,20010110,1.3235999999999999,Entry,5,-822320.4249999998,568000
8,20010118,1.3028,Exit,5,-82330.02499999979,0
9,20010503,20.28,Entry,7,-736360.0249999998,32250
10,20010612,32.164100000000005,Entry,6,-985631.7999999998,7750
11,20010711,29.5,Entry,8,-1007756.7999999998,750
12,20010807,18.994999999999997,Exit,7,-395168.04999999993,0
13,20010907,144.54500000000002,Entry,4,-2057435.5500000003,11500
14,20010907,1.2978,Entry,5,-2936695.0500000003,677500
15,20010918,614.8,Entry,1,-4012595.0500000003,1750
16,20010920,138.3125,Exit,10,-2041641.9250000003,0
17,20010925,138.25,Exit,4,-451766.9250000003,0
18,20011004,-27.625,Exit,8,-472485.6750000003,0
19,20011119,596.9000000000001,Exit,1,572089.3249999998,0
20,20011126,1.2582,Exit,5,1424519.8249999997,0
21,20011218,1.3084,Entry,5,609386.6249999998,623000
22,20020107,33.22655,Exit,6,866892.3874999997,0
23,20020110,35.46095,Entry,6,689587.6374999997,5000
24,20020114,609.7,Entry,1,-682237.3625000003,2250
25,20020128,1.2576,Exit,5,101247.43749999977,0
26,20020307,688.5,Entry,9,-415127.56250000023,750
27,20020319,32.84375,Exit,6,-250908.81250000023,0
28,20020401,-14.0,Entry,8,-236908.81250000023,1000
29,20020405,1.2931,Entry,5,-1330224.8625,845500
30,20020408,140.935,Entry,4,-2211068.6125,6250
31,20020415,138.085,Exit,4,-1348037.3624999998,0
32,20020416,-34.125,Exit,8,-1382162.3624999998,0
33,20020418,-17.25,Entry,8,-1369224.8624999998,750
34,20020422,140.59,Entry,4,-2247912.3625,6250
35,20020425,36.39845,Entry,6,-2484502.2874999996,6500
36,20020702,1.13365,Entry,0,-3416079.175,821750
37,20020816,19.04,Entry,7,-4230039.175,42750
38,20020926,1.10845,Exit,0,-3319170.3874999997,0
39,20021118,134.0,Entry,10,-5027670.387499999,12750
40,20021121,75.68,Entry,3,-5519590.387499999,6500
41,20021204,72.75,Exit,3,-5046715.387499999,0
42,20021226,76.375,Entry,3,-5695902.887499999,8500
43,20030102,1.1320000000000001,Entry,0,-7154767.887499999,1288750
44,20030314,132.875,Exit,10,-5460611.637499999,0
45,20030403,135.825,Entry,10,-6886774.137499999,10500
46,20030429,1.1163,Exit,0,-5448142.512499999,0
47,20030501,1.13125,Entry,0,-6710900.324999999,1116250
48,20030507,68.96000000000001,Exit,3,-6124740.324999999,0
49,20030714,76.955,Entry,3,-6759619.074999999,8250
50,20030801,72.805,Exit,3,-6158977.824999999,0
51,20030804,1.11585,Exit,0,-4913410.262499999,0
52,20030814,45.82815,Exit,6,-4615527.2875,0
53,20030822,1.1349,Entry,0,-6353910.3625,1531750
54,20030908,19.869999999999997,Exit,7,-5504467.8625,0
55,20030915,80.205,Entry,3,-6146107.8625,8000
56,20030923,52.2422,Entry,6,-6472621.6125,6250
57,20040310,73.91,Exit,3,-5881341.6125,0
58,20040428,20.299999999999997,Entry,7,-7180541.6125,64000
59,20040510,19.494999999999997,Exit,7,-5932861.6125,0
